"Data_Staalname_Genotype$ID","Data_Staalname_Genotype$Hok","Data_Staalname_Genotype$Call_final_Kristof"
"RAT-0001","BR67","WW"
"RAT-0002",NA,NA
"RAT-0003",NA,NA
"RAT-0004",NA,NA
"RAT-0005","BR37","M2W"
"RAT-0006","BR38","M2W"
"RAT-0007",NA,NA
"RAT-0008","BR39","M2W"
"RAT-0009","BR09","WW"
"RAT-0010",NA,NA
"RAT-0011","BR18","WW"
"RAT-0012","BR19","WW"
"RAT-0013",NA,NA
"RAT-0014",NA,NA
"RAT-0015","BR08","WW"
"RAT-0016",NA,NA
"RAT-0017",NA,NA
"RAT-0018",NA,NA
"RAT-0019","BR07","WW"
"RAT-0020",NA,NA
"RAT-0021",NA,NA
"RAT-0022",NA,NA
"RAT-0023","BR17","WW"
"RAT-0024",NA,NA
"RAT-0025",NA,NA
"RAT-0026",NA,NA
"RAT-0027",NA,NA
"RAT-0028",NA,NA
"RAT-0029",NA,NA
"RAT-0030",NA,NA
"RAT-0031",NA,NA
"RAT-0032",NA,NA
"RAT-0033",NA,NA
"RAT-0034",NA,NA
"RAT-0035",NA,NA
"RAT-0036",NA,NA
"RAT-0037",NA,NA
"RAT-0038",NA,NA
"RAT-0039",NA,NA
"RAT-0040",NA,NA
"RAT-0041",NA,NA
"RAT-0042",NA,NA
"RAT-0043",NA,NA
"RAT-0044",NA,NA
"RAT-0045",NA,NA
"RAT-0046",NA,NA
"RAT-0047",NA,NA
"RAT-0048",NA,NA
"RAT-0049",NA,NA
"RAT-0050",NA,NA
"RAT-0051",NA,NA
"RAT-0052",NA,NA
"RAT-0053",NA,NA
"RAT-0054",NA,NA
"RAT-0055",NA,NA
"RAT-0056",NA,NA
"RAT-0057",NA,NA
"RAT-0058",NA,NA
"RAT-0059",NA,NA
"RAT-0060",NA,NA
"RAT-0061",NA,NA
"RAT-0062",NA,NA
"RAT-0063",NA,NA
"RAT-0064",NA,NA
"RAT-0065",NA,NA
"RAT-0066",NA,NA
"RAT-0067",NA,NA
"RAT-0068",NA,NA
"RAT-0069",NA,NA
"RAT-0070",NA,NA
"RAT-0071",NA,NA
"RAT-0072",NA,NA
"RAT-0073",NA,NA
"RAT-0074",NA,NA
"RAT-0075",NA,NA
"RAT-0076",NA,NA
"RAT-0077",NA,NA
"RAT-0078",NA,NA
"RAT-0079",NA,NA
"RAT-0080",NA,NA
"RAT-0081",NA,NA
"RAT-0082","NE80","WW"
"RAT-0083","DL82","WW"
"RAT-0084","BO53","WW"
"RAT-0085","BO91","M1W"
"RAT-0086","BO80","WW"
"RAT-0087","BO96","M1M1?"
"RAT-0088","BO33","M1M1?"
"RAT-0089","BO10","M1M1?"
"RAT-0090","BO62","M1M1?"
"RAT-0091","BO33","M1M1?"
"RAT-0092","BO59","M1W"
"RAT-0093","BO06","M1M1?"
"RAT-0094","BO46","M1M1?"
"RAT-0095","BO47","M1W"
"RAT-0096","NA","WW"
"RAT-0097","BO39","WW"
"RAT-0098","NA",NA
"RAT-0099","NA","WW"
"RAT-0100","BO45","M1W"
"RAT-0101",NA,NA
"RAT-0102",NA,NA
"RAT-0103",NA,NA
"RAT-0104",NA,NA
"RAT-0105",NA,NA
"RAT-0106",NA,NA
"RAT-0107",NA,NA
"RAT-0108",NA,NA
"RAT-0109",NA,NA
"RAT-0110",NA,NA
"RAT-0111","LE55","WW"
"RAT-0112","LE85","WW"
"RAT-0113","IZ99","WW"
"RAT-0114","IZ100","WW"
"RAT-0115",NA,NA
"RAT-0116","IZ92","WW"
"RAT-0117","IZ93","WW"
"RAT-0118","IZ64","M1M1?"
"RAT-0119","IZ79","M1M1?"
"RAT-0120","IZ76","M1M1?"
"RAT-0121","LE41","WW"
"RAT-0122","IZ97","WW"
"RAT-0123","LE40","WW"
"RAT-0124",NA,NA
"RAT-0125",NA,NA
"RAT-0126","IZ56","M1M1?"
"RAT-0127","IZ85","WW"
"RAT-0128",NA,"WW"
"RAT-0129","IZ94","WW"
"RAT-0130","IZ77","M1W"
"RAT-0131","LE84","SPECIAAL"
"RAT-0132","LE86","WW"
"RAT-0133","LE72","WW"
"RAT-0134","LE42","M1W"
"RAT-0135",NA,NA
"RAT-0136","IZ95","M1W"
"RAT-0137","IZ87","WW"
"RAT-0138","IZ67","M1W"
"RAT-0139","IZ84","WW"
"RAT-0140","IZ78","M1M1?"
"RAT-0141","IZ98","WW"
"RAT-0142","LE70","WW"
"RAT-0143","LE56","M1W"
"RAT-0144","IZ86","WW"
"RAT-0145","IZ88","WW"
"RAT-0146","IZ91","WW"
"RAT-0147","IZ53","M1W"
"RAT-0148","IZ54","WW"
"RAT-0149","IZ55","M1W"
"RAT-0150","IZ65","WW"
"RAT-0151","LE57","WW"
"RAT-0152","IZ96","WW"
"RAT-0153","LE71","WW"
"RAT-0154","IZ52","WW"
"RAT-0155","IZ62","M1W"
"RAT-0156","IZ73","WW"
"RAT-0157","IZ63","WW"
"RAT-0158","IZ50","WW"
"RAT-0159","IZ61","WW"
"RAT-0160","IZ51","WW"
"RAT-0161","IZ75","M1M1?"
"RAT-0162","IZ74","M1W"
"RAT-0163","IZ25","M1M1?"
"RAT-0164","IZ33","M1W"
"RAT-0165","IZ24","M1M1?"
"RAT-0166","IZ34","M1W"
"RAT-0167","IZ45","M1M1?"
"RAT-0168","IZ44","WW"
"RAT-0169","IZ23","M1W"
"RAT-0170","IZ35","M1M1?"
"RAT-0171","IZ43","WW"
"RAT-0172","IZ20","M1W"
"RAT-0173","IZ22","M1W"
"RAT-0174","IZ40","M1M1?"
"RAT-0175","IZ30","WW"
"RAT-0176","IZ42","M1W"
"RAT-0177","IZ41","M1W"
"RAT-0178","IZ21","M1W"
"RAT-0179","IZ32","WW"
"RAT-0180","IZ31","M1M1?"
"RAT-0181","LE45","M1W"
"RAT-0182","LE46","M1W"
"RAT-0183","LE61","M1W"
"RAT-0184","LE60","WW"
"RAT-0185","LE75","WW"
"RAT-0186","LE97","WW"
"RAT-0187","LE89","WW"
"RAT-0188","LE64","M1W"
"RAT-0189","LE49","M1W"
"RAT-0190","LE50","WW"
"RAT-0191",NA,"MissingData"
"RAT-0192","LE65","M1W"
"RAT-0193","LE80","M1M1?"
"RAT-0194","LE93","M1W"
"RAT-0195","LE90","WW"
"RAT-0196",NA,"WW"
"RAT-0197","LE99","WW"
"RAT-0198","LE48","M1M1?"
"RAT-0199","LE63","M1W"
"RAT-0200","LE53","M1W"
"RAT-0201","LE73","M1W"
"RAT-0202","LE95","M1W"
"RAT-0203","LE87","M1W"
"RAT-0204","LE82","M1W"
"RAT-0205","LE43","M1W"
"RAT-0206","LE58","M1W"
"RAT-0207","LE54","NoData"
"RAT-0208","LE68","WW"
"RAT-0209","LE83","M1M1?"
"RAT-0210","LE67","M1W"
"RAT-0211",NA,NA
"RAT-0212","BE69","WW"
"RAT-0213","NE11","WW"
"RAT-0214","NE04","WW"
"RAT-0215","NE80","WW"
"RAT-0216","NE77","WW"
"RAT-0217","NE68","WW"
"RAT-0218","MA28","M1W"
"RAT-0219","MA35","WW"
"RAT-0220","NE39","WW"
"RAT-0221","NE63","WW"
"RAT-0222","BE54","WW"
"RAT-0223","NE56","WW"
"RAT-0224","NE06","WW"
"RAT-0225","NE88","WW"
"RAT-0226","NE94","WW"
"RAT-0227",NA,"WW"
"RAT-0228","NE65","WW"
"RAT-0229","MA30","M1W"
"RAT-0230","NE37","WW"
"RAT-0231","BE50","WW"
"RAT-0232",NA,NA
"RAT-0233","BE48","WW"
"RAT-0234","NE09","WW"
"RAT-0235","NE83","MissingData"
"RAT-0236","NE96","WW"
"RAT-0237","MA63","WW"
"RAT-0238","NE60","WW"
"RAT-0239","NE67","WW"
"RAT-0240","NE42","M2W"
"RAT-0241","NE19",NA
"RAT-0242","BE45","WW"
"RAT-0243","BE44","M1W"
"RAT-0244","NE02","WW"
"RAT-0245","NE95","WW"
"RAT-0246","NE93","WW"
"RAT-0247","NE66","WW"
"RAT-0248","NE50","WW"
"RAT-0249","NE64","WW"
"RAT-0250","NE43","WW"
"RAT-0251","NE14","WW"
"RAT-0252",NA,"WW"
"RAT-0253","NE05","WW"
"RAT-0254","NE08","WW"
"RAT-0255","NE92","WW"
"RAT-0256","NE51","WW"
"RAT-0257","NE91","WW"
"RAT-0258","MA46","M1M1?"
"RAT-0259","MA34","WW"
"RAT-0260","NE58","WW"
"RAT-0261","MA92","SPECIAAL"
"RAT-0262","BE88","WW"
"RAT-0263","NE44","WW"
"RAT-0264","NE35","WW"
"RAT-0265","MA90","WW"
"RAT-0266","NE82","WW"
"RAT-0267","NE73","WW"
"RAT-0268","MA31","WW"
"RAT-0269","NE25","M2W"
"RAT-0270","NE41","WW"
"RAT-0271","MA89","M1W"
"RAT-0272","BE93","WW"
"RAT-0273","BE81","WW"
"RAT-0274","BE94","WW"
"RAT-0275","MA42","WW"
"RAT-0276","NE79","WW"
"RAT-0277","NE76","WW"
"RAT-0278","MA27","WW"
"RAT-0279","NE55","WW"
"RAT-0280",NA,NA
"RAT-0281","BE87","WW"
"RAT-0282","BE91","WW"
"RAT-0283","BE97","WW"
"RAT-0284","BE75","WW"
"RAT-0285","NE57","WW"
"RAT-0286","NE81","WW"
"RAT-0287","NE90","WW"
"RAT-0288",NA,NA
"RAT-0289","NE40","WW"
"RAT-0290","NE36","WW"
"RAT-0291","MA41","WW"
"RAT-0292","BE86","WW"
"RAT-0293","MA20","WW"
"RAT-0294","BE95","WW"
"RAT-0295","MA91","WW"
"RAT-0296","NE52","WW"
"RAT-0297","NE59","WW"
"RAT-0298","NE34","M2W"
"RAT-0299","NE53","WW"
"RAT-0300","BE58","WW"
"RAT-0301","BE67","WW"
"RAT-0302","BE92","WW"
"RAT-0303","BE74","WW"
"RAT-0304","BE100","WW"
"RAT-0305","MA19","WW"
"RAT-0306",NA,"WW"
"RAT-0307","NE38","WW"
"RAT-0308","NE16",NA
"RAT-0309","DD28","WW"
"RAT-0310","NE23","M2M2"
"RAT-0311","DD61","WW"
"RAT-0312","DD05","WW"
"RAT-0313",NA,NA
"RAT-0314","BE21","WW"
"RAT-0315","BE12","NoData"
"RAT-0316","BE53","M1W"
"RAT-0317","BE46","WW"
"RAT-0318","GK80","M1W"
"RAT-0319","GK88","M1M1?"
"RAT-0320","GK76","WW"
"RAT-0321","DD32","WW"
"RAT-0322","DD12","WW"
"RAT-0323","DD22","M1W"
"RAT-0324","BE23","WW"
"RAT-0325",NA,NA
"RAT-0326",NA,NA
"RAT-0327","BE36","WW"
"RAT-0328",NA,NA
"RAT-0329","GK71","M1W"
"RAT-0330","GK70","WW"
"RAT-0331",NA,NA
"RAT-0332","DD79","WW"
"RAT-0333",NA,NA
"RAT-0334","BE20","M1W"
"RAT-0335","BE02","M1M1?"
"RAT-0336","BE10","WW"
"RAT-0337","BE41","M1W"
"RAT-0338",NA,NA
"RAT-0339","GK81","WW"
"RAT-0340","GK91","WW"
"RAT-0341","DD27","WW"
"RAT-0342","DD47","WW"
"RAT-0343","DD36","M1W"
"RAT-0344","BE24","M1M1?"
"RAT-0345","BE25","M1W"
"RAT-0346","BE57","M1W"
"RAT-0347","BE17","WW"
"RAT-0348","BE42","WW"
"RAT-0349","BE07","M1W"
"RAT-0350",NA,NA
"RAT-0351",NA,"WW"
"RAT-0352","DD68","WW"
"RAT-0353","DD31","WW"
"RAT-0354",NA,NA
"RAT-0355","BE22","M1M1?"
"RAT-0356","BE90","WW"
"RAT-0357","BE52","WW"
"RAT-0358","BE49","WW"
"RAT-0359","BE08","WW"
"RAT-0360","GK97","M1W"
"RAT-0361","DD24","WW"
"RAT-0362","DD19","WW"
"RAT-0363","DD23","M1W"
"RAT-0364","BE01","NoData"
"RAT-0365","BE27","M1W"
"RAT-0366","BE72","WW"
"RAT-0367","DD09","M1M1?"
"RAT-0368","BE47","WW"
"RAT-0369","GK83","WW"
"RAT-0370","GK79","WW"
"RAT-0371","DD34","WW"
"RAT-0372","DD17","WW"
"RAT-0373","DD20","WW"
"RAT-0374","BE18","M1W"
"RAT-0375","BE19","NoData"
"RAT-0376","BE71","M1W"
"RAT-0377","DD21","M1M1?"
"RAT-0378","BE39","WW"
"RAT-0379","GK87","M1W"
"RAT-0380","GK90","WW"
"RAT-0381","DD26","WW"
"RAT-0382","DD25","WW"
"RAT-0383","DD04","WW"
"RAT-0384","BE03","M1W"
"RAT-0385","BE15","WW"
"RAT-0386","BE65","WW"
"RAT-0387",NA,NA
"RAT-0388","BE44","WW"
"RAT-0389","GK89","M1W"
"RAT-0390","GK98","M1W"
"RAT-0391","DD40","MissingData"
"RAT-0392",NA,NA
"RAT-0393","DD28","M1W"
"RAT-0394","BE11","M1W"
"RAT-0395",NA,NA
"RAT-0396","BE37","WW"
"RAT-0397","BE85","WW"
"RAT-0398","BE38","WW"
"RAT-0399","GK75","WW"
"RAT-0400","GK93","M1M1?"
"RAT-0401","DD53","WW"
"RAT-0402","DD54","WW"
"RAT-0403","DD01","M1W"
"RAT-0404","BE06","MissingData"
"RAT-0405","BE04","WW"
"RAT-0406","BE84","M1W"
"RAT-0407","BE78","WW"
"RAT-0408",NA,NA
"RAT-0409","GK82","M1W"
"RAT-0410","GK92","WW"
"RAT-0411",NA,NA
"RAT-0412","DL15","M2W"
"RAT-0413","ML51","WW"
"RAT-0414","DE88","M2M2"
"RAT-0415","DE79","M2W"
"RAT-0416",NA,"WW"
"RAT-0417","ML80","WW"
"RAT-0418","ML82","WW"
"RAT-0419","ML91","WW"
"RAT-0420","ML87","WW"
"RAT-0421",NA,NA
"RAT-0422","ML58","WW"
"RAT-0423","DL25","WW"
"RAT-0424","ML34","M1M1?"
"RAT-0425","DE66","M2W"
"RAT-0426","ML05","M1M1?"
"RAT-0427","DE83","WW"
"RAT-0428","ML85","WW"
"RAT-0429","ML78","WW"
"RAT-0430","ML19","M1W"
"RAT-0431",NA,NA
"RAT-0432","ML57","M1W"
"RAT-0433","ML92","M2M2"
"RAT-0434","ML86","M2M2"
"RAT-0435","DE64","M2W"
"RAT-0436","ML40","M1W"
"RAT-0437","ML61","M2W"
"RAT-0438","ML79","WW"
"RAT-0439","ML81","WW"
"RAT-0440","ML77","WW"
"RAT-0441","DL48","WW"
"RAT-0442",NA,NA
"RAT-0443","DE68","M2W"
"RAT-0444","DL08","MissingData"
"RAT-0445","DE78","MissingData"
"RAT-0446","ML12","WW"
"RAT-0447","ML72","M2M2"
"RAT-0448","ML14","WW"
"RAT-0449","ML84","M2M2"
"RAT-0450","ML88","WW"
"RAT-0451","DD35","M1W"
"RAT-0452","DL09","WW"
"RAT-0453","ML94","M2W"
"RAT-0454","ML43","M1W"
"RAT-0455","DE51","M2W"
"RAT-0456","ML02","WW"
"RAT-0457","ML63","WW"
"RAT-0458","ML29","M1W"
"RAT-0459","ML18","M1W"
"RAT-0460","ML09","WW"
"RAT-0461","DL24","WW"
"RAT-0462","DE81","M2W"
"RAT-0463",NA,NA
"RAT-0464",NA,NA
"RAT-0465","DE38","M2M2"
"RAT-0466","ML20","M1W"
"RAT-0467","ML21","WW"
"RAT-0468","ML31","M1W"
"RAT-0469","ML30","M1W"
"RAT-0470","ML32","WW"
"RAT-0471","ML93","WW"
"RAT-0472","ML59","M1W"
"RAT-0473","ML24","WW"
"RAT-0474",NA,NA
"RAT-0475","DE67","M2W"
"RAT-0476","ML42","M1W"
"RAT-0477",NA,NA
"RAT-0478","ML33","M1W"
"RAT-0479","ML46","M1M1?"
"RAT-0480","ML13","M1W"
"RAT-0481","ML25","M1W"
"RAT-0482","DL17",NA
"RAT-0483",NA,NA
"RAT-0484",NA,NA
"RAT-0485","DE75","M2M2"
"RAT-0486","ML16","M1M1?"
"RAT-0487","ML41","WW"
"RAT-0488","DE27","WW"
"RAT-0489","ML90","WW"
"RAT-0490","ML08","MissingData"
"RAT-0491","DE69","WW"
"RAT-0492","ML50","M1W"
"RAT-0493","ML55","WW"
"RAT-0494","DE70","M2M2"
"RAT-0495","DE74","M2W"
"RAT-0496","ML07","M1W"
"RAT-0497","ML56","M1W"
"RAT-0498","DE40","WW"
"RAT-0499","DE54","WW"
"RAT-0500","ML76","WW"
"RAT-0501","DE80","M2W"
"RAT-0502","DE82","M2W"
"RAT-0503",NA,"WW"
"RAT-0504","DL16","WW"
"RAT-0505","DE73","M2M2"
"RAT-0506","ML06","M1W"
"RAT-0507","ML01","M1W"
"RAT-0508","DE28","WW"
"RAT-0509","DE09","M2W"
"RAT-0510","MA68","M3W"
"RAT-0511",NA,NA
"RAT-0512","BP04","M3W"
"RAT-0513","BP08","M1M1?"
"RAT-0514","BP13","M1W"
"RAT-0515","BP06","WW"
"RAT-0516","BP14","M1M1?"
"RAT-0517","BP01","SPECIAAL"
"RAT-0518","BP03","M1W"
"RAT-0519","BP05","M1W"
"RAT-0520","BP09","M1W"
"RAT-0521","BP07","M1M1?"
"RAT-0522","BP02","M1M1?"
"RAT-0523","BP10","M1W"
"RAT-0524","BP11","M1W"
"RAT-0525","BP12","WW"
"RAT-0526","GK03","WW"
"RAT-0527","GK14","M1M1?"
"RAT-0528","GK08","M1W"
"RAT-0529","GK17","WW"
"RAT-0530","GK04","WW"
"RAT-0531","GK15","MissingData"
"RAT-0532","GK13","WW"
"RAT-0533","GK09","WW"
"RAT-0534","GK28","WW"
"RAT-0535","GK20","NoData"
"RAT-0536","GK30","M1W"
"RAT-0537","GK07","WW"
"RAT-0538","GK18","WW"
"RAT-0539","GK06","M1W"
"RAT-0540","GK19","M1M1?"
"RAT-0541","GK02","WW"
"RAT-0542","GK05","WW"
"RAT-0543","GK29","WW"
"RAT-0544","GK21","WW"
"RAT-0545","GK27","WW"
"RAT-0546","GK16","NoData"
"RAT-0547","GK24","M1W"
"RAT-0548","GK26","WW"
"RAT-0549","GK11","M3W"
"RAT-0550","GK23","M1W"
"RAT-0551","GK12","MissingData"
"RAT-0552","GK25","WW"
"RAT-0553","GK10","WW"
"RAT-0554","GK01","M1W"
"RAT-0555","GK22","WW"
"RAT-0556","BP21","WW"
"RAT-0557","BP23","M1W"
"RAT-0558","BP31","WW"
"RAT-0559","BP30","M1W"
"RAT-0560","BP48","WW"
"RAT-0561","BP47","M1M1?"
"RAT-0562",NA,NA
"RAT-0563",NA,NA
"RAT-0564","BP39","M1W"
"RAT-0565","BP32","M1W"
"RAT-0566","BP38","M1M1?"
"RAT-0567","BP49","M1W"
"RAT-0568","BP24","WW"
"RAT-0569","BP45","M1W"
"RAT-0570","BP19","M1M1?"
"RAT-0571","BP18","M1W"
"RAT-0572","BP20","M1M1?"
"RAT-0573","BP28","M1M1?"
"RAT-0574","BP46","M1W"
"RAT-0575","BP44","M1W"
"RAT-0576","BP29","M1W"
"RAT-0577","BP37","WW"
"RAT-0578",NA,"WW"
"RAT-0579","BP35","WW"
"RAT-0580","BP27","M1M1?"
"RAT-0581","BP26","M1W"
"RAT-0582","BP42","M1W"
"RAT-0583","BP15","WW"
"RAT-0584","BP17","M1W"
"RAT-0585","BP34","M1M1?"
"RAT-0586","BP43","M1W"
"RAT-0587","BP41","M1M1?"
"RAT-0588","BP33","M1W"
"RAT-0589","BP25","M1W"
"RAT-0590","BP16","M1M1?"
"RAT-0591","LE98","WW"
"RAT-0592","LE96","WW"
"RAT-0593","LE88","MissingData"
"RAT-0594","LE94","WW"
"RAT-0595","LE74","WW"
"RAT-0596","LE78","WW"
"RAT-0597","LE47","M1M1?"
"RAT-0598","LE63","WW"
"RAT-0599","LE78","M1W"
"RAT-0600","LE59","WW"
"RAT-0601","LE83","M1W"
"RAT-0602","LE44",NA
"RAT-0603","LE91","M1W"
"RAT-0604","LE77","WW"
"RAT-0605","LE76","M1M1?"
"RAT-0606","DL32","WW"
"RAT-0607","DL93","WW"
"RAT-0608","DL21","MissingData"
"RAT-0609","DE36","M2W"
"RAT-0610","DL11","WW"
"RAT-0611",NA,NA
"RAT-0612",NA,NA
"RAT-0613",NA,NA
"RAT-0614",NA,NA
"RAT-0615",NA,NA
"RAT-0616",NA,NA
"RAT-0617",NA,NA
"RAT-0618",NA,NA
"RAT-0619",NA,NA
"RAT-0620",NA,NA
"RAT-0621",NA,NA
"RAT-0622",NA,NA
"RAT-0623",NA,NA
"RAT-0624",NA,NA
"RAT-0625",NA,NA
"RAT-0626",NA,NA
"RAT-0627",NA,NA
"RAT-0628",NA,NA
"RAT-0629",NA,NA
"RAT-0630",NA,NA
"RAT-0631",NA,NA
"RAT-0632",NA,NA
"RAT-0633",NA,NA
"RAT-0634","DD86","M1W"
"RAT-0635","DD87","WW"
"RAT-0636","DD94","M1W"
"RAT-0637","DD97","WW"
"RAT-0638","DD77","WW"
"RAT-0639",NA,NA
"RAT-0640","DD84","M1M1?"
"RAT-0641","NE28","WW"
"RAT-0642",NA,NA
"RAT-0643","BE79","WW"
"RAT-0644",NA,NA
"RAT-0645","DD89","WW"
"RAT-0646","DD67","M1W"
"RAT-0647","DD81","WW"
"RAT-0648","DD69","M1W"
"RAT-0649","DD85",NA
"RAT-0650","DD80","WW"
"RAT-0651","BE80","WW"
"RAT-0652",NA,NA
"RAT-0653","NE19","WW"
"RAT-0654","NE21","WW"
"RAT-0655",NA,NA
"RAT-0656","NE18","WW"
"RAT-0657","NE12","WW"
"RAT-0658","NE30","WW"
"RAT-0659",NA,"WW"
"RAT-0660","NE32","WW"
"RAT-0661","BE96","WW"
"RAT-0662",NA,NA
"RAT-0663","NE22","WW"
"RAT-0664",NA,NA
"RAT-0665","NE15","WW"
"RAT-0666","NE29","M2M2"
"RAT-0667","BE82","WW"
"RAT-0668","BE76","WW"
"RAT-0669","BE99","M1W"
"RAT-0670","DE63","WW"
"RAT-0671","NE33","WW"
"RAT-0672","NE17","WW"
"RAT-0673","NE17","M2W"
"RAT-0674","DL12","WW"
"RAT-0675","DL81","WW"
"RAT-0676","DE17","M3W"
"RAT-0677","DE26","M2W"
"RAT-0678",NA,NA
"RAT-0679","DE03","WW"
"RAT-0680","DE56","WW"
"RAT-0681","DL27","WW"
"RAT-0682","DE55","WW"
"RAT-0683","DE13","WW"
"RAT-0684","DE04","WW"
"RAT-0685","DL26","WW"
"RAT-0686","DE38","M2M2"
"RAT-0687","DE47","M2W"
"RAT-0688","DL53","WW"
"RAT-0689","DL62","WW"
"RAT-0690","DL43","MissingData"
"RAT-0691","DE10","M2W"
