"Data_Staalname_Genotype$ID","Data_Staalname_Genotype$Hok","Data_Staalname_Genotype$Call_final_Kristof"
"RAT-0692","DL33","WW"
"RAT-0693","DL42","WW"
"RAT-0694","DL52","M2W"
"RAT-0695","DL20","WW"
"RAT-0696","DL22","M1W"
"RAT-0697","DL13","WW"
"RAT-0698","DE16","M3W"
"RAT-0699","DL14","WW"
"RAT-0700","DL19","WW"
"RAT-0701","DE15","M2M2"
"RAT-0702","DL72","M2W"
"RAT-0703","DL80","WW"
"RAT-0704","DL98","WW"
"RAT-0705","DL92","WW"
"RAT-0706","DL86","WW"
"RAT-0707","DL91","WW"
"RAT-0708","DE01","WW"
"RAT-0709","DE49","M2M2"
"RAT-0710","DE37","M2W"
"RAT-0711","DE14","M2M2"
"RAT-0712","DE25","WW"
"RAT-0713","DE48","M2M2"
"RAT-0714","DE50","M2M2"
"RAT-0715","DL10","M2W"
"RAT-0716","DL58","WW"
"RAT-0717","DE60","M2W"
"RAT-0718","DE05","M1W"
"RAT-0719","DL63","NoData"
"RAT-0720","DL18","WW"
"RAT-0721","DL66","WW"
"RAT-0722","DL38","WW"
"RAT-0723","DE61","WW"
"RAT-0724","DL71","WW"
"RAT-0725","DE24","M2W"
"RAT-0726","DL41","WW"
"RAT-0727",NA,NA
"RAT-0728","DL23","WW"
"RAT-0729","DE53","WW"
"RAT-0730","DE62","M2M2"
"RAT-0731","DL74","WW"
"RAT-0732","DE02","M2W"
"RAT-0733","DL75","M2M2"
"RAT-0734",NA,NA
"RAT-0735","DE39","M2W"
"RAT-0736","DL87","WW"
"RAT-0737","DE46","M2M2"
"RAT-0738","DE41","M1W"
"RAT-0739",NA,NA
"RAT-0740",NA,NA
"RAT-0741",NA,NA
"RAT-0742",NA,NA
"RAT-0743",NA,NA
"RAT-0744",NA,NA
"RAT-0745",NA,NA
"RAT-0746",NA,NA
"RAT-0747",NA,NA
"RAT-0748","IZ82","WW"
"RAT-0749","IZ70","WW"
"RAT-0750",NA,"M1M1?"
"RAT-0751","GK47","WW"
"RAT-0752","GK54","M1W"
"RAT-0753","IZ72","WW"
"RAT-0754","IZ48","WW"
"RAT-0755","IZ58","WW"
"RAT-0756","IZ90","M1M1?"
"RAT-0757","IZ83","WW"
"RAT-0758","IZ71","M1W"
"RAT-0759","IZ59","M1M1?"
"RAT-0760",NA,NA
"RAT-0761",NA,NA
"RAT-0762","DE44","WW"
"RAT-0763","DE57","WW"
"RAT-0764",NA,NA
"RAT-0765",NA,NA
"RAT-0766","ML58","M1W"
"RAT-0767",NA,NA
"RAT-0768","ML64","M1W"
"RAT-0769","ML70","WW"
"RAT-0770","DE71","WW"
"RAT-0771","ML11","M1W"
"RAT-0772","ML04","WW"
"RAT-0773","DE90","WW"
"RAT-0774","ML15","M1W"
"RAT-0775","NE46","WW"
"RAT-0776",NA,NA
"RAT-0777","DE92","WW"
"RAT-0778","ML26","M2W"
"RAT-0779",NA,NA
"RAT-0780","NE48","M2W"
"RAT-0781","ML53","WW"
"RAT-0782","NE47","M2W"
"RAT-0783","ML67","WW"
"RAT-0784","ML54","M1M1?"
"RAT-0785","ML69","M1W"
"RAT-0786","NE45","M1W"
"RAT-0787","ML46","M1M1?"
"RAT-0788","ML10","M2M2"
"RAT-0789","ML39","M1W"
"RAT-0790",NA,NA
"RAT-0791","DE65","M2W"
"RAT-0792",NA,"M2M2"
"RAT-0793","DE86","M2W"
"RAT-0794","DE86","M2M2"
"RAT-0795",NA,NA
"RAT-0796",NA,NA
"RAT-0797",NA,NA
"RAT-0798",NA,NA
"RAT-0799",NA,NA
"RAT-0800","DE58",NA
"RAT-0801",NA,NA
"RAT-0802","DE97","M2W"
"RAT-0803","DE96","M2M2"
"RAT-0804","DE31","M2M2"
"RAT-0805","DE20","SPECIAAL"
"RAT-0806","DE32","SPECIAAL"
"RAT-0807","DE30","MissingData"
"RAT-0808","DE18","M2M2"
"RAT-0809","DE19","WW"
"RAT-0810","DE29","WW"
"RAT-0811","DE30","WW"
"RAT-0812","ML27","M1W"
"RAT-0813","ML28","M1W"
"RAT-0814","ML45","M1M1?"
"RAT-0815","ML29","WW"
"RAT-0816","ML26","M1W"
"RAT-0817","ML35","M1W"
"RAT-0818","ML22","M1M1?"
"RAT-0819","ML36","M1M1?"
"RAT-0820","ML38","M1M1?"
"RAT-0821",NA,NA
"RAT-0822","ML37","M2M2"
"RAT-0823","ML17","M1M1?"
"RAT-0824","DE08","WW"
"RAT-0825","DE100","WW"
"RAT-0826","ML47","WW"
"RAT-0827",NA,NA
"RAT-0828",NA,NA
"RAT-0829","ML49","M1M1?"
"RAT-0830","ML38","WW"
"RAT-0831","ML48","M1W"
"RAT-0832","ML23","WW"
"RAT-0833",NA,NA
"RAT-0834","ML60","M1W"
"RAT-0835",NA,NA
"RAT-0836",NA,NA
"RAT-0837","ML71","M1W"
"RAT-0838","ML62","M1W"
"RAT-0839","DE91","WW"
"RAT-0840","DE07","WW"
"RAT-0841","DE06","WW"
"RAT-0842",NA,NA
"RAT-0843","DL40","WW"
"RAT-0844","DE45","WW"
"RAT-0845",NA,NA
"RAT-0846","DE23","WW"
"RAT-0847",NA,NA
"RAT-0848",NA,NA
"RAT-0849","BE35","WW"
"RAT-0850","DD03","WW"
"RAT-0851",NA,NA
"RAT-0852","BE34","WW"
"RAT-0853","DD16","WW"
"RAT-0854","DD18","WW"
"RAT-0855","DL83","WW"
"RAT-0856","DL89","WW"
"RAT-0857",NA,NA
"RAT-0858","DL76","WW"
"RAT-0859","DD56","WW"
"RAT-0860","DD64","WW"
"RAT-0861","DL95","WW"
"RAT-0862","DD88","M1W"
"RAT-0863",NA,NA
"RAT-0864",NA,NA
"RAT-0865",NA,NA
"RAT-0866","DD33","WW"
"RAT-0867",NA,NA
"RAT-0868",NA,NA
"RAT-0869","DD95","WW"
"RAT-0870",NA,NA
"RAT-0871","DD99","WW"
"RAT-0872",NA,NA
"RAT-0873","DL73","WW"
"RAT-0874",NA,NA
"RAT-0875","DL65","WW"
"RAT-0876","DL47","WW"
"RAT-0877","DL57","M2M2"
"RAT-0878","DD96","WW"
"RAT-0879","DL04","WW"
"RAT-0880","DL05","WW"
"RAT-0881","DL01","WW"
"RAT-0882","DE12","WW"
"RAT-0883",NA,NA
"RAT-0884","DE11","WW"
"RAT-0885","DL29","WW"
"RAT-0886",NA,NA
"RAT-0887","DE34","M2W"
"RAT-0888","DE35","M2M2"
"RAT-0889","DE72","M2W"
"RAT-0890","DE59","M2M2"
"RAT-0891",NA,NA
"RAT-0892",NA,NA
"RAT-0893",NA,NA
"RAT-0894",NA,NA
"RAT-0895",NA,NA
"RAT-0896",NA,NA
"RAT-0897",NA,NA
"RAT-0898",NA,NA
"RAT-0899",NA,NA
"RAT-0900",NA,NA
"RAT-0901",NA,NA
"RAT-0902",NA,NA
"RAT-0903","DL94","M2W"
"RAT-0904","DD41","WW"
"RAT-0905",NA,NA
"RAT-0906",NA,NA
"RAT-0907",NA,NA
"RAT-0908","DL68","WW"
"RAT-0909","DL78","WW"
"RAT-0910",NA,NA
"RAT-0911","DL79","WW"
"RAT-0912","DL60","WW"
"RAT-0913","BE37","WW"
"RAT-0914",NA,NA
"RAT-0915","DL36","WW"
"RAT-0916","DL37","WW"
"RAT-0917",NA,NA
"RAT-0918",NA,NA
"RAT-0919",NA,NA
"RAT-0920",NA,NA
"RAT-0921",NA,NA
"RAT-0922",NA,NA
"RAT-0923",NA,NA
"RAT-0924",NA,NA
"RAT-0925",NA,NA
"RAT-0926",NA,NA
"RAT-0927",NA,NA
"RAT-0928",NA,NA
"RAT-0929",NA,NA
"RAT-0930",NA,NA
"RAT-0931","NE89","WW"
"RAT-0932","NE97","WW"
"RAT-0933",NA,NA
"RAT-0934",NA,NA
"RAT-0935",NA,NA
"RAT-0936","NE71","WW"
"RAT-0937","NE72","WW"
"RAT-0938","NE84","WW"
"RAT-0939",NA,NA
"RAT-0940","NE86","WW"
"RAT-0941","NE70","WW"
"RAT-0942","NE69","WW"
"RAT-0943","NE49","WW"
"RAT-0944",NA,NA
"RAT-0945",NA,NA
"RAT-0946",NA,NA
"RAT-0947","NE07","WW"
"RAT-0948","DL06","WW"
"RAT-0949","NE10","WW"
"RAT-0950","NE13","WW"
"RAT-0951","DL02","MissingData"
"RAT-0952","DL03","M2W"
"RAT-0953",NA,NA
"RAT-0954","DL30","M1W"
"RAT-0955","DL31","MissingData"
"RAT-0956",NA,NA
"RAT-0957","BE51","M2W"
"RAT-0958","BE62","WW"
"RAT-0959","BE66","WW"
"RAT-0960",NA,NA
"RAT-0961",NA,NA
"RAT-0962",NA,NA
"RAT-0963",NA,NA
"RAT-0964",NA,NA
"RAT-0965",NA,NA
"RAT-0966",NA,NA
"RAT-0967",NA,NA
"RAT-0968",NA,NA
"RAT-0969","MA65","WW"
"RAT-0970","MA66","WW"
"RAT-0971",NA,NA
"RAT-0972",NA,NA
"RAT-0973",NA,NA
"RAT-0974","MA83","MissingData"
"RAT-0975",NA,NA
"RAT-0976","MA96","WW"
"RAT-0977","MA97","M2W"
"RAT-0978",NA,NA
"RAT-0979",NA,NA
"RAT-0980",NA,"WW"
"RAT-0981","MA69","WW"
"RAT-0982",NA,NA
"RAT-0983","BE43","WW"
"RAT-0984","DL07","MissingData"
"RAT-0985",NA,NA
"RAT-0986",NA,NA
"RAT-0987",NA,NA
"RAT-0988",NA,NA
"RAT-0989",NA,NA
"RAT-0990",NA,NA
"RAT-0991",NA,NA
"RAT-0992",NA,NA
"RAT-0993",NA,NA
"RAT-0994",NA,NA
"RAT-0995",NA,NA
"RAT-0996",NA,NA
"RAT-0997",NA,NA
"RAT-0998",NA,NA
"RAT-0999",NA,NA
"RAT-1000",NA,NA
"RAT-1001",NA,NA
"RAT-1002",NA,NA
"RAT-1003",NA,NA
"RAT-1004",NA,NA
"RAT-1005",NA,NA
"RAT-1006",NA,NA
"RAT-1007",NA,NA
"RAT-1008",NA,NA
"RAT-1009",NA,NA
"RAT-1010",NA,NA
"RAT-1011",NA,NA
"RAT-1012",NA,NA
"RAT-1013",NA,NA
"RAT-1014",NA,NA
"RAT-1015",NA,NA
"RAT-1016",NA,NA
"RAT-1017",NA,NA
"RAT-1018",NA,NA
"RAT-1019",NA,NA
"RAT-1020",NA,NA
"RAT-1021",NA,NA
"RAT-1022",NA,NA
"RAT-1023",NA,NA
"RAT-1024",NA,NA
"RAT-1025",NA,NA
"RAT-1026",NA,NA
"RAT-1027",NA,NA
"RAT-1028",NA,NA
"RAT-1029",NA,NA
"RAT-1030",NA,NA
"RAT-1031",NA,NA
"RAT-1032",NA,NA
"RAT-1033",NA,NA
"RAT-1034",NA,NA
"RAT-1035",NA,NA
"RAT-1036",NA,NA
"RAT-1037",NA,NA
"RAT-1038",NA,NA
"RAT-1039",NA,NA
"RAT-1040",NA,NA
"RAT-1041",NA,NA
"RAT-1042",NA,NA
"RAT-1043",NA,NA
"RAT-1044",NA,NA
"RAT-1045",NA,NA
"RAT-1046",NA,NA
"RAT-1047",NA,NA
"RAT-1048",NA,NA
"RAT-1049",NA,NA
"RAT-1050",NA,NA
"RAT-1051",NA,NA
"RAT-1052",NA,NA
"RAT-1053",NA,NA
"RAT-1054",NA,NA
"RAT-1055",NA,NA
"RAT-1056",NA,NA
"RAT-1057",NA,NA
"RAT-1058",NA,NA
"RAT-1059",NA,NA
"RAT-1060",NA,NA
"RAT-1061","IZ02","M1W"
"RAT-1062","IZ02","M1W"
"RAT-1063","IZ57","M1W"
"RAT-1064","LE18","M1M1?"
"RAT-1065","LE01","M1M1?"
"RAT-1066",NA,NA
"RAT-1067",NA,NA
"RAT-1068","IZ11","M1W"
"RAT-1069","IZ27","M1W"
"RAT-1070","IZ46","M1M1?"
"RAT-1071","LE23","M1W"
"RAT-1072","LE28","MissingData"
"RAT-1073","LE19","M1W"
"RAT-1074",NA,NA
"RAT-1075","IZ15","M1W"
"RAT-1076","IZ19","M1W"
"RAT-1077","IZ08","M1M1?"
"RAT-1078","LE22","M1W"
"RAT-1079","LE27","NoData"
"RAT-1080","LE17","M1M1?"
"RAT-1081",NA,NA
"RAT-1082","IZ12","M1M1?"
"RAT-1083","IZ18","M1M1?"
"RAT-1084","LE12","M1W"
"RAT-1085","LE35","M1M1?"
"RAT-1086","LE19","M1W"
"RAT-1087","LE07","M1M1?"
"RAT-1088",NA,NA
"RAT-1089","IZ14","M1M1?"
"RAT-1090","IZ37","M1M1?"
"RAT-1091","LE11","M1M1?"
"RAT-1092","LE36","M1W"
"RAT-1093","IZ48","M1W"
"RAT-1094","IZ49","WW"
"RAT-1095","GK48","M1W"
"RAT-1096","IZ05","M1M1?"
"RAT-1097","IZ26","M1W"
"RAT-1098","LE02","M1M1?"
"RAT-1099","LE34","M1M1?"
"RAT-1100","LE20","WW"
"RAT-1101","LE16","M1W"
"RAT-1102","GK55","M1M1?"
"RAT-1103","LE29","M1W"
"RAT-1104","IZ16","M1M1?"
"RAT-1105","LE04","M1M1?"
"RAT-1106","LE03","M1M1?"
"RAT-1107","LE31","M1W"
"RAT-1108","LE30","M1M1?"
"RAT-1109",NA,NA
"RAT-1110",NA,NA
"RAT-1111","BP82","M1M1?"
"RAT-1112","BP51","MissingData"
"RAT-1113","BP52","M1M1?"
"RAT-1114","LE06","WW"
"RAT-1115","IZ13","WW"
"RAT-1116",NA,NA
"RAT-1117",NA,NA
"RAT-1118",NA,NA
"RAT-1119","BP83","M1M1?"
"RAT-1120","BP51","M1M1?"
"RAT-1121","IZ38","WW"
"RAT-1122",NA,"WW"
"RAT-1123","IZ73","M1M1?"
"RAT-1124","IZ63","M1W"
"RAT-1125","IZ61","M1M1?"
"RAT-1126","BP92","MissingData"
"RAT-1127","BP56","M1W"
"RAT-1128","IZ28","WW"
"RAT-1129","LE20","M1M1?"
"RAT-1130","IZ54","M1W"
"RAT-1131",NA,NA
"RAT-1132","IZ53","M1M1?"
"RAT-1133","BP72","M1M1?"
"RAT-1134","BP64","WW"
"RAT-1135","IZ39","M1W"
"RAT-1136","LE15","M1M1?"
"RAT-1137","IZ71","M1M1?"
"RAT-1138","IZ60","NoData"
"RAT-1139","BP81","M1M1?"
"RAT-1140","BP65","M1M1?"
"RAT-1141","BP57","M1M1?"
"RAT-1142","IZ06","M1W"
"RAT-1143","LE08","M1M1?"
"RAT-1144","IZ62","M1M1?"
"RAT-1145","BP50","M1M1?"
"RAT-1146","BP84","M1M1?"
"RAT-1147","BP74","M1M1?"
"RAT-1148","BP76","WW"
"RAT-1149","IZ29","NoData"
"RAT-1150","LE09","M1W"
"RAT-1151","IZ69","M1M1?"
"RAT-1152","IZ68","M1M1?"
"RAT-1153","BP70","M1M1?"
"RAT-1154","BP75","M1M1?"
"RAT-1155","BP66","M1W"
"RAT-1156","IZ04","WW"
"RAT-1157","LE10","M1W"
"RAT-1158",NA,NA
"RAT-1159","LE05","M1W"
"RAT-1160","IZ17","M1W"
"RAT-1161","IZ47","M1M1?"
"RAT-1162","IZ01","M1M1?"
"RAT-1163","IZ03","WW"
"RAT-1164","GK58","M1M1?"
"RAT-1165","LE25","M1W"
"RAT-1166","BP95","M1M1?"
"RAT-1167",NA,NA
"RAT-1168","DD45","WW"
"RAT-1169","GK99","M1M1?"
"RAT-1170","DD51","M1M1?"
"RAT-1171","LE51","WW"
"RAT-1172","GK66","M1M1?"
"RAT-1173","DD70","WW"
"RAT-1174","GK94","M1W"
"RAT-1175","GK67","WW"
"RAT-1176","BP88","MissingData"
"RAT-1177","GK95","WW"
"RAT-1178","LE24","M1W"
"RAT-1179","GK56","M1M1"
"RAT-1180","BP100","M1W"
"RAT-1181","GK96","M1W"
"RAT-1182","DD98","WW"
"RAT-1183","BP69","WW"
"RAT-1184","GK36","WW"
"RAT-1185",NA,"M1M1?"
"RAT-1186","GK63","M1M1?"
"RAT-1187","GK51","WW"
"RAT-1188","GK50","WW"
"RAT-1189",NA,NA
"RAT-1190","GK40","WW"
"RAT-1191","GK35","M1W"
"RAT-1192","LE38","M1M1?"
"RAT-1193","GK38","M1M1?"
"RAT-1194","GK64","M1M1?"
"RAT-1195","DD76","M1W"
"RAT-1196","DD11","WW"
"RAT-1197","DD14","M1W"
"RAT-1198","BP80","WW"
"RAT-1199","GK31","WW"
"RAT-1200","GK57","M1M1?"
"RAT-1201","DD58","SPECIAAL"
"RAT-1202",NA,"M1M1?"
"RAT-1203","DD63","WW"
"RAT-1204","GK52","M1W"
"RAT-1205",NA,NA
"RAT-1206","LE39","M1M1?"
"RAT-1207","BP78","M1W"
"RAT-1208",NA,"M1M1?"
"RAT-1209","BE31","M1W"
"RAT-1210","DD78","M1W"
"RAT-1211","DD52","M1M1?"
"RAT-1212","DD74","M1M1?"
"RAT-1213","DD75","M1M1?"
"RAT-1214","BP59","WW"
"RAT-1215","GK65","WW"
"RAT-1216","GK44","WW"
"RAT-1217","GK41","WW"
"RAT-1218","DD55","WW"
"RAT-1219","DD46","WW"
"RAT-1220","DD39","WW"
"RAT-1221","BE13","WW"
"RAT-1222","DD30","WW"
"RAT-1223","DD43","M1W"
"RAT-1224",NA,NA
"RAT-1225","GK37","M1W"
"RAT-1226","BP87","M1W"
"RAT-1227","BP85","WW"
"RAT-1228","BP97","WW"
"RAT-1229","LE26",NA
"RAT-1230","GK33","M1W"
"RAT-1231",NA,NA
"RAT-1232","BE14","WW"
"RAT-1233","DD02","WW"
"RAT-1234","BE40","WW"
"RAT-1235","DD06","M1W"
"RAT-1236","GK34","M1W"
"RAT-1237","GK32","WW"
"RAT-1238","GK39","NoData"
"RAT-1239","BP98","M1W"
"RAT-1240","BP86","M1M1?"
"RAT-1241","DD83","WW"
"RAT-1242","LE81","WW"
"RAT-1243","LE52","M1M1?"
"RAT-1244","LE66","M1W"
"RAT-1245","DD65","M1W"
"RAT-1246","BE32","M1W"
"RAT-1247","BE30","M1M1?"
"RAT-1248","DD60","M1W"
"RAT-1249","GK43","WW"
"RAT-1250","BP96","M1W"
"RAT-1251","DD91","M1M1?"
"RAT-1252","DD93","WW"
"RAT-1253","DD92","M1W"
"RAT-1254","BP89","MissingData"
"RAT-1255","BP90","M1W"
"RAT-1256","BP67","M1W"
"RAT-1257","BP79","M1M1?"
"RAT-1258","BP77","M1W"
"RAT-1259","BP58","M1W"
"RAT-1260",NA,"WW"
"RAT-1261","BE28","WW"
"RAT-1262","GK77","WW"
"RAT-1263","GK84","M1W"
"RAT-1264","BE63","WW"
"RAT-1265","GK85","WW"
"RAT-1266","GK86","WW"
"RAT-1267","GK78","WW"
"RAT-1268","BE55","WW"
"RAT-1269","BE59","WW"
"RAT-1270","BE60","WW"
"RAT-1271","DD29","WW"
"RAT-1272","BE77","M1W"
"RAT-1273","DD10","WW"
"RAT-1274","DD08","WW"
"RAT-1275","BE64","M1W"
"RAT-1276","BE56","WW"
"RAT-1277","GK42","WW"
"RAT-1278","GK45","M1W"
"RAT-1279","BP99","M1W"
"RAT-1280","LE37","M1W"
"RAT-1281","DD44","WW"
"RAT-1282","GK68","WW"
"RAT-1283","BE33","M1M1?"
"RAT-1284","DD50","M1W"
"RAT-1285","DD66","M1W"
"RAT-1286","GK69","WW"
"RAT-1287","DD38","WW"
"RAT-1288","GK46","WW"
"RAT-1289","BE05","M1W"
"RAT-1290","DD62","WW"
"RAT-1291","GK73","WW"
"RAT-1292","GK74","WW"
"RAT-1293","GK72","M1M1?"
"RAT-1294","BE70","WW"
"RAT-1295","DD57","M1M1?"
"RAT-1296","BP94","M1W"
"RAT-1297","DD59","M1W"
"RAT-1298","DD15","WW"
"RAT-1299","LE13","M1W"
"RAT-1300","DD13","M1M1?"
"RAT-2000",NA,NA
"RAT-2001","BO85","WW"
"RAT-2002","BO01","M1M1?"
"RAT-2003","BO74","WW"
"RAT-2004","BO75","M1M1?"
"RAT-2005","BO17","M1W"
"RAT-2006","BO86","M1W"
"RAT-2007","BO10","M1W"
"RAT-2008","BO64","M1M1?"
"RAT-2009","BO77","M1W"
"RAT-2010","BO65","WW"
"RAT-2011","BO66","M1M1?"
"RAT-2012","BO88","M1M1?"
"RAT-2013","BO87","M1W"
"RAT-2014","BO67","M1M1?"
"RAT-2015","BO78","M1W"
"RAT-2016","BO06","M1M1?"
"RAT-2017","BO07","M1M1?"
"RAT-2018","BO98","M1W"
"RAT-2019","BO93","M1W"
"RAT-2020","BO03","M1W"
"RAT-2021","BO94","M1M1?"
"RAT-2022","BO37","M1W"
"RAT-2023","BO81","M1M1?"
"RAT-2024","BO72","M1W"
"RAT-2025","BO70","M1M1?"
"RAT-2026","BO60","M1W"
"RAT-2027","BO38","M1M1?"
"RAT-2028","BO73","M1M1?"
"RAT-2029","BO18","M1W"
"RAT-2030","BO61","M1W"
"RAT-2031","BO92","M1W"
"RAT-2032","BO34","M1M1?"
"RAT-2033","BO84","M1M1?"
"RAT-2034","BO71","M1M1?"
"RAT-2035","BO63","M1W"
"RAT-2036","BO68","WW"
"RAT-2037","BO79","WW"
"RAT-2038","BO35","WW"
"RAT-2039","BO90","M1W"
"RAT-2040","BO95","M1M1?"
"RAT-2041","BO53","WW"
"RAT-2042","BO50","M1M1?"
"RAT-2043","BO12","M1W"
"RAT-2044","BO16","WW"
"RAT-2045","BO21","M1M1?"
"RAT-2046","BO22","M1M1?"
"RAT-2047","BO89","M1M1?"
"RAT-2048","BO49","M1W"
"RAT-2049","BO97","M1W"
"RAT-2050","BO27","M1W"
"RAT-2051","BO23","WW"
"RAT-2052","BO15","M1W"
"RAT-2053","BO32","M1M1?"
"RAT-2054","BO36","WW"
"RAT-2055","BO55","M1M1?"
"RAT-2056","BO09","M1M1?"
"RAT-2057","BO25","M1W"
"RAT-2058","BO83","M1W"
"RAT-2059","BO08","M1M1?"
"RAT-2060","BO20","WW"
"RAT-2061","BO52","M1M1?"
"RAT-2062","BO51","M1W"
"RAT-2063","BO69","M1M1?"
"RAT-2064","BO19","M1W"
"RAT-2065","BO82","M1M1?"
"RAT-2066","BO54","M1M1?"
"RAT-2067","BO14","M1W"
"RAT-2068","BO02","M1W"
"RAT-2069","BO41","M1W"
"RAT-2070","BO45","M1M1?"
"RAT-2071","BO56","M1M1?"
"RAT-2072","BO24","WW"
"RAT-2073","BO57","M1M1?"
"RAT-2074","BO58","M1W"
"RAT-2075","BO11","WW"
"RAT-2076","BO44","WW"
"RAT-2077","BO26","M1M1?"
"RAT-2078","BO04","WW"
"RAT-2079","BO40","M1W"
"RAT-2080","BO28","M1M1?"
"RAT-2081","BO28","M1W"
"RAT-2082","BO48","M1W"
"RAT-2083","BO42","M1M1?"
"RAT-2084","BO43","M1M1?"
"RAT-2085","BO46","M1W"
"RAT-2086","BO47","M1W"
"RAT-2087","BO31","M1M1?"
"RAT-2088","BO76","M1W"
"RAT-2089","BO39","M1W"
"RAT-2090","BO13","M1M1?"
"RAT-2091","BO30","WW"
