ID;ID_LIMS;ID_Bekken;ID_Trim
RAT-1266;24-007464;RAT-1266;RAT-1266
RAT-1298;24-007465;RAT-1298;RAT-1298
RAT-1295;24-007466;RAT-1295;RAT-1295
RAT-1192;24-007467;RAT-1192;RAT-1192
RAT-1289;24-007468;RAT-1289;RAT-1289
RAT-1169;24-007469;RAT-1169;RAT-1169
RAT-1198;24-007470;RAT-1198;RAT-1198
RAT-1243;24-007471;RAT-1243;RAT-1243
RAT-1177;24-007472;RAT-1177;RAT-1177
RAT-1286;24-007473;RAT-1286;RAT-1286
RAT-1199;24-007474;RAT-1199;RAT-1199
RAT-1300;24-007475;RAT-1300;RAT-1300
RAT-1282;24-007476;RAT-1282;RAT-1282
RAT-1168;24-007477;RAT-1168;RAT-1168
RAT-1213;24-007478;RAT-1213;RAT-1213
RAT-1223;24-007479;RAT-1223;RAT-1223
RAT-1294;24-007480;RAT-1294;RAT-1294
RAT-1171;24-007481;RAT-1171;RAT-1171
RAT-1273;24-007482;RAT-1273;RAT-1273
RAT-1287;24-007483;RAT-1287;RAT-1287
RAT-1281;24-007484;RAT-1281;RAT-1281
RAT-1241;24-007485;RAT-1241;RAT-1241
RAT-1221;24-007486;RAT-1221;RAT-1221
RAT-1262;24-007487;RAT-1262;RAT-1262
RAT-1280;24-007488;RAT-1280;RAT-1280
RAT-1196;24-007489;RAT-1196;RAT-1196
RAT-1261;24-007490;RAT-1261;RAT-1261
RAT-1181;24-007491;RAT-1181;RAT-1181
RAT-1252;24-007492;RAT-1252;RAT-1252
RAT-1222;24-007493;RAT-1222;RAT-1222
RAT-1165;24-007494;RAT-1165;RAT-1165
RAT-1279;24-007495;RAT-1279;RAT-1279
RAT-1197;24-007496;RAT-1197;RAT-1197
RAT-1285;24-007497;RAT-1285;RAT-1285
RAT-1175;24-007498;RAT-1175;RAT-1175
RAT-1265;24-007499;RAT-1265;RAT-1265
RAT-1271;24-007500;RAT-1271;RAT-1271
RAT-1200;24-007501;RAT-1200;RAT-1200
RAT-1194;24-007502;RAT-1194;RAT-1194
RAT-1188;24-007503;RAT-1188;RAT-1188
RAT-1170;24-007504;RAT-1170;RAT-1170
RAT-1174;24-007505;RAT-1174;RAT-1174
RAT-1274;24-007506;RAT-1274;RAT-1274
RAT-1276;24-007507;RAT-1276;RAT-1276
RAT-1180;24-007508;RAT-1180;RAT-1180
RAT-1186;24-007509;RAT-1186;RAT-1186
RAT-1187;24-007510;RAT-1187;RAT-1187
RAT-1284;24-007511;RAT-1284;RAT-1284
RAT-1297;24-007512;RAT-1297;RAT-1297
RAT-1260;24-007513;RAT-1260;RAT-1260
RAT-1214;24-007514;RAT-1214;RAT-1214
RAT-1258;24-007515;RAT-1258;RAT-1258
RAT-0423;24-007516;RAT-0423;RAT-0423
RAT-0412;24-007517;RAT-0412;RAT-0412
RAT-0722;24-007518;RAT-0722;RAT-0722
RAT-0724;24-007519;RAT-0724;RAT-0724
RAT-04482;24-007520;RAT-04482;RAT-0448
RAT-0461;24-007521;RAT-0461;RAT-0461
RAT-0444;24-007522;RAT-0444;RAT-0444
RAT-0504;24-007523;RAT-0504;RAT-0504
RAT-0728;24-007524;RAT-0728;RAT-0728
RAT-0715;24-007525;RAT-0715;RAT-0715
RAT-0733;24-007526;RAT-0733;RAT-0733
RAT-0607DL93;24-007527;RAT-0607DL93;RAT-0607
RAT-0731;24-007528;RAT-0731;RAT-0731
RAT-0716;24-007529;RAT-0716;RAT-0716
RAT-0441;24-007530;RAT-0441;RAT-0441
RAT-0685;24-007531;RAT-0685;RAT-0685
RAT-0707DL91;24-007532;RAT-0707DL91;RAT-0707
RAT-0705DL92;24-007533;RAT-0705DL92;RAT-0705
RAT-0720;24-007534;RAT-0720;RAT-0720
RAT-0702;24-007535;RAT-0702;RAT-0702
RAT-0704DL98;24-007536;RAT-0704DL98;RAT-0704
RAT-0721;24-007537;RAT-0721;RAT-0721
RAT-0452;24-007538;RAT-0452;RAT-0452
RAT-0450;24-007539;RAT-0450;RAT-0450
RAT-0451;24-007540;RAT-0451;RAT-0451
RAT-0452;24-007541;RAT-0452;RAT-0452
RAT-0688DL53;24-007542;RAT-0688DL53;RAT-0688
RAT-0689DL62;24-007543;RAT-0689DL62;RAT-0689
RAT-0719DL63;24-007544;RAT-0719DL63;RAT-0719
RAT-0703DL80;24-007545;RAT-0703DL80;RAT-0703
RAT-0675DL81;24-007546;RAT-0675DL81;RAT-0675
RAT-0706DL86;24-007547;RAT-0706DL86;RAT-0706
RAT-0736DL87;24-007548;RAT-0736DL87;RAT-0736
RAT-0696DL22;24-007549;RAT-0696DL22;RAT-0696
RAT-0606DL32;24-007550;RAT-0606DL32;RAT-0606
RAT-0692DL33;24-007551;RAT-0692DL33;RAT-0692
RAT-0726DL41;24-007552;RAT-0726DL41;RAT-0726
RAT-0693DL42;24-007553;RAT-0693DL42;RAT-0693
RAT-0690DL43;24-007554;RAT-0690DL43;RAT-0690
RAT-0694DL52;24-007555;RAT-0694DL52;RAT-0694
RAT-0608DL21;24-007556;RAT-0608DL21;RAT-0608
RAT-0695DL20;24-007557;RAT-0695DL20;RAT-0695
RAT-0700DL19;24-007558;RAT-0700DL19;RAT-0700
RAT-0699DL14;24-007559;RAT-0699DL14;RAT-0699
RAT-0697DL13;24-007560;RAT-0697DL13;RAT-0697
RAT-0674DL12;24-007561;RAT-0674DL12;RAT-0674
RAT-0610DL11;24-007562;RAT-0610DL11;RAT-0610
RAT-0681;24-007563;RAT-0681;RAT-0681
RAT-1235;24-007564;RAT-1235;RAT-1235
RAT-1259;24-007565;RAT-1259;RAT-1259
RAT-1207;24-007566;RAT-1207;RAT-1207
RAT-1257;24-007567;RAT-1257;RAT-1257
RAT-1176;24-007568;RAT-1176;RAT-1176
RAT-1245;24-007569;RAT-1245;RAT-1245
RAT-1246;24-007570;RAT-1246;RAT-1246
RAT-1256;24-007571;RAT-1256;RAT-1256
RAT-12429;24-007572;RAT-12429;RAT-1242
RAT-1254;24-007573;RAT-1254;RAT-1254
RAT-1255;24-007574;RAT-1255;RAT-1255
RAT-1204;24-007575;RAT-1204;RAT-1204
RAT-1215;24-007576;RAT-1215;RAT-1215
RAT-1216;24-007577;RAT-1216;RAT-1216
RAT-1172;24-007578;RAT-1172;RAT-1172
RAT-1206;24-007579;RAT-1206;RAT-1206
RAT-1293;24-007580;RAT-1293;RAT-1293
RAT-1202;24-007581;RAT-1202;RAT-1202
RAT-1208;24-007582;RAT-1208;RAT-1208
RAT-1212;24-007583;RAT-1212;RAT-1212
RAT-1234;24-007584;RAT-1234;RAT-1234
RAT-1296;24-007585;RAT-1296;RAT-1296
RAT-1238;24-007586;RAT-1238;RAT-1238
RAT-1230;24-007587;RAT-1230;RAT-1230
RAT-1228;24-007588;RAT-1228;RAT-1228
RAT-1193;24-007589;RAT-1193;RAT-1193
RAT-1237;24-007590;RAT-1237;RAT-1237
RAT-1277;24-007591;RAT-1277;RAT-1277
RAT-1291;24-007592;RAT-1291;RAT-1291
RAT-1225;24-007593;RAT-1225;RAT-1225
RAT-1288;24-007594;RAT-1288;RAT-1288
RAT-1217;24-007595;RAT-1217;RAT-1217
RAT-1299;24-007596;RAT-1299;RAT-1299
RAT-1211;24-007597;RAT-1211;RAT-1211
RAT-1247;24-007598;RAT-1247;RAT-1247
RAT-1248;24-007599;RAT-1248;RAT-1248
RAT-1210;24-007600;RAT-1210;RAT-1210
RAT-1283;24-007601;RAT-1283;RAT-1283
RAT-1278;24-007602;RAT-1278;RAT-1278
RAT-1249;24-007603;RAT-1249;RAT-1249
RAT-1201;24-007604;RAT-1201;RAT-1201
RAT-1264;24-007605;RAT-1264;RAT-1264
RAT-1233;24-007606;RAT-1233;RAT-1233
RAT-1272;24-007607;RAT-1272;RAT-1272
RAT-1195;24-007608;RAT-1195;RAT-1195
RAT-1173;24-007609;RAT-1173;RAT-1173
RAT-1290;24-007610;RAT-1290;RAT-1290
RAT-1220;24-007611;RAT-1220;RAT-1220
RAT-1209;24-007612;RAT-1209;RAT-1209
RAT-1219;24-007613;RAT-1219;RAT-1219
RAT-1218;24-007614;RAT-1218;RAT-1218
RAT-1269;24-007615;RAT-1269;RAT-1269
RAT-1236;24-007616;RAT-1236;RAT-1236
RAT-1226;24-007617;RAT-1226;RAT-1226
RAT-1239;24-007618;RAT-1239;RAT-1239
RAT-1227;24-007619;RAT-1227;RAT-1227
RAT-1268;24-007620;RAT-1268;RAT-1268
RAT-1164;24-007621;RAT-1164;RAT-1164
RAT-1292;24-007622;RAT-1292;RAT-1292
RAT-1184;24-007623;RAT-1184;RAT-1184
RAT-1275;24-007624;RAT-1275;RAT-1275
RAT-1203;24-007625;RAT-1203;RAT-1203
RAT-1178;24-007626;RAT-1178;RAT-1178
RAT-1166;24-007627;RAT-1166;RAT-1166
RAT-1240;24-007628;RAT-1240;RAT-1240
RAT-1185;24-007629;RAT-1185;RAT-1185
RAT-1179;24-007630;RAT-1179;RAT-1179
RAT-1250;24-007631;RAT-1250;RAT-1250
RAT-1270;24-007632;RAT-1270;RAT-1270
RAT-1267;24-007633;RAT-1267;RAT-1267
RAT-1232;24-007634;RAT-1232;RAT-1232
RAT-1251;24-007635;RAT-1251;RAT-1251
RAT-1182;24-007636;RAT-1182;RAT-1182
RAT-1253;24-007637;RAT-1253;RAT-1253
RAT-1190;24-007638;RAT-1190;RAT-1190
RAT-1183;24-007639;RAT-1183;RAT-1183
RAT-1191;24-007640;RAT-1191;RAT-1191
RAT-1242;24-007641;RAT-1242;RAT-1242
RAT-1244;24-007642;RAT-1244;RAT-1244
RAT-1263;24-007643;RAT-1263;RAT-1263
RAT-0152;24-001193;;RAT-0152
RAT-0153;24-001194;;RAT-0153
RAT-0123;24-007644;RAT-0123;RAT-0123
RAT-0132;24-007645;RAT-0132;RAT-0132
RAT-0133;24-007646;RAT-0133;RAT-0133
RAT-0151;24-007647;RAT-0151;RAT-0151
RAT-0134;24-007648;RAT-0134;RAT-0134
RAT-0515;24-007649;RAT-0515;RAT-0515
RAT-0514;24-007650;RAT-0514;RAT-0514
RAT-0516;24-007651;RAT-0516;RAT-0516
RAT-0525;24-007652;RAT-0525;RAT-0525
RAT-0111;24-007653;RAT-0111;RAT-0111
RAT-0121;24-007654;RAT-0121;RAT-0121
RAT-0141;24-007655;RAT-0141;RAT-0141
RAT-0143;24-007656;RAT-0143;RAT-0143
RAT-0131;24-007657;RAT-0131;RAT-0131
RAT-0122;24-007658;RAT-0122;RAT-0122
RAT-0142;24-007659;RAT-0142;RAT-0142
RAT-0113;24-007660;RAT-0113;RAT-0113
RAT-0112;24-007661;RAT-0112;RAT-0112
RAT-0114;24-007662;RAT-0114;RAT-0114
RAT-0149;24-007663;RAT-0149;RAT-0149
RAT-0127;24-007664;RAT-0127;RAT-0127
RAT-0140;24-007665;RAT-0140;RAT-0140
RAT-0147;24-007666;RAT-0147;RAT-0147
RAT-0116;24-007667;RAT-0116;RAT-0116
RAT-0146;24-007668;RAT-0146;RAT-0146
RAT-0129;24-007669;RAT-0129;RAT-0129
RAT-0137;24-007670;RAT-0137;RAT-0137
RAT-0139;24-007671;RAT-0139;RAT-0139
RAT-0144;24-007672;RAT-0144;RAT-0144
RAT-0120;24-007673;RAT-0120;RAT-0120
RAT-0136;24-007674;RAT-0136;RAT-0136
RAT-0145;24-007675;RAT-0145;RAT-0145
RAT-0126;24-007676;RAT-0126;RAT-0126
RAT-0119;24-007677;RAT-0119;RAT-0119
RAT-0130;24-007678;RAT-0130;RAT-0130
RAT-0148;24-007679;RAT-0148;RAT-0148
RAT-0117;24-007680;RAT-0117;RAT-0117
RAT-0163;24-007681;RAT-0163;RAT-0163
RAT-0161;24-007682;RAT-0161;RAT-0161
RAT-0160;24-007683;RAT-0160;RAT-0160
RAT-0158;24-007684;RAT-0158;RAT-0158
RAT-0156;24-007685;RAT-0156;RAT-0156
RAT-0159;24-007686;RAT-0159;RAT-0159
RAT-0157;24-007687;RAT-0157;RAT-0157
RAT-0162;24-007688;RAT-0162;RAT-0162
RAT-0165;24-007689;RAT-0165;RAT-0165
RAT-0167;24-007690;RAT-0167;RAT-0167
RAT-0170;24-007691;RAT-0170;RAT-0170
RAT-0154;24-007692;RAT-0154;RAT-0154
RAT-0155;24-007693;RAT-0155;RAT-0155
RAT-0164;24-007694;RAT-0164;RAT-0164
RAT-0169;24-007695;RAT-0169;RAT-0169
RAT-0168;24-007696;RAT-0168;RAT-0168
RAT-0166;24-007697;RAT-0166;RAT-0166
RAT-0171;24-007698;RAT-0171;RAT-0171
RAT-0172;24-007699;RAT-0172;RAT-0172
RAT-0175;24-007700;RAT-0175;RAT-0175
RAT-0173;24-007701;RAT-0173;RAT-0173
RAT-0177;24-007702;RAT-0177;RAT-0177
RAT-0176;24-007703;RAT-0176;RAT-0176
RAT-0179;24-007704;RAT-0179;RAT-0179
RAT-0180;24-007705;RAT-0180;RAT-0180
RAT-0178;24-007706;RAT-0178;RAT-0178
RAT-0174;24-007707;RAT-0174;RAT-0174
RAT-0150;24-007708;RAT-0150;RAT-0150
RAT-0118;24-007709;RAT-0118;RAT-0118
RAT-0128;24-007710;RAT-0128;RAT-0128
RAT-0138;24-007711;RAT-0138;RAT-0138
RAT-0578;24-007712;RAT-0578;RAT-0578
RAT-0575;24-007713;RAT-0575;RAT-0575
RAT-0570;24-007714;RAT-0570;RAT-0570
RAT-0580;24-007715;RAT-0580;RAT-0580
RAT-0569;24-007716;RAT-0569;RAT-0569
RAT-0556;24-007717;RAT-0556;RAT-0556
RAT-0564;24-007718;RAT-0564;RAT-0564
RAT-0572;24-007719;RAT-0572;RAT-0572
RAT-0589;24-007720;RAT-0589;RAT-0589
RAT-0576;24-007721;RAT-0576;RAT-0576
RAT-0574;24-007722;RAT-0574;RAT-0574
RAT-0571;24-007723;RAT-0571;RAT-0571
RAT-0573;24-007724;RAT-0573;RAT-0573
RAT-0577;24-007725;RAT-0577;RAT-0577
RAT-0579;24-007726;RAT-0579;RAT-0579
RAT-0560;24-007727;RAT-0560;RAT-0560
RAT-0561;24-007728;RAT-0561;RAT-0561
RAT-0582;24-007729;RAT-0582;RAT-0582
RAT-0583;24-007730;RAT-0583;RAT-0583
RAT-0559;24-007731;RAT-0559;RAT-0559
RAT-0558;24-007732;RAT-0558;RAT-0558
RAT-0568;24-007733;RAT-0568;RAT-0568
RAT-0567;24-007734;RAT-0567;RAT-0567
RAT-0566;24-007735;RAT-0566;RAT-0566
RAT-0557;24-007736;RAT-0557;RAT-0557
RAT-0585;24-007737;RAT-0585;RAT-0585
RAT-0584;24-007738;RAT-0584;RAT-0584
RAT-0581;24-007739;RAT-0581;RAT-0581
RAT-0586;24-007740;RAT-0586;RAT-0586
RAT-0588;24-007741;RAT-0588;RAT-0588
RAT-0583;24-007742;RAT-0583;RAT-0583
RAT-0582;24-007743;RAT-0582;RAT-0582
RAT-0587;24-007744;RAT-0587;RAT-0587
RAT-0590;24-007745;RAT-0590;RAT-0590
RAT-0565;24-007746;RAT-0565;RAT-0565
RAT-0521;24-007747;RAT-0521;RAT-0521
RAT-0517;24-007748;RAT-0517;RAT-0517
RAT-0524;24-007749;RAT-0524;RAT-0524
RAT-0512;24-007750;RAT-0512;RAT-0512
RAT-0523;24-007751;RAT-0523;RAT-0523
RAT-0520;24-007752;RAT-0520;RAT-0520
RAT-0518;24-007753;RAT-0518;RAT-0518
RAT-0522;24-007754;RAT-0522;RAT-0522
RAT-0519;24-007755;RAT-0519;RAT-0519
RAT-0513;24-007756;RAT-0513;RAT-0513
RAT-0540;24-007757;RAT-0540;RAT-0540
RAT-0528;24-007758;RAT-0528;RAT-0528
RAT-0526;24-007759;RAT-0526;RAT-0526
RAT-0537;24-007760;RAT-0537;RAT-0537
RAT-0527;24-007761;RAT-0527;RAT-0527
RAT-0530;24-007762;RAT-0530;RAT-0530
RAT-0539;24-007763;RAT-0539;RAT-0539
RAT-0533;24-007764;RAT-0533;RAT-0533
RAT-0532;24-007765;RAT-0532;RAT-0532
RAT-0531;24-007766;RAT-0531;RAT-0531
RAT-0545;24-007767;RAT-0545;RAT-0545
RAT-0534;24-007768;RAT-0534;RAT-0534
RAT-0543;24-007769;RAT-0543;RAT-0543
RAT-0548;24-007770;RAT-0548;RAT-0548
RAT-0552;24-007771;RAT-0552;RAT-0552
RAT-0550;24-007772;RAT-0550;RAT-0550
RAT-0555;24-007773;RAT-0555;RAT-0555
RAT-0551;24-007774;RAT-0551;RAT-0551
RAT-0542;24-007775;RAT-0542;RAT-0542
RAT-0535;24-007776;RAT-0535;RAT-0535
RAT-0544;24-007777;RAT-0544;RAT-0544
RAT-0538;24-007778;RAT-0538;RAT-0538
RAT-0549;24-007779;RAT-0549;RAT-0549
RAT-0536;24-007780;RAT-0536;RAT-0536
RAT-0553;24-007781;RAT-0553;RAT-0553
RAT-0554;24-007782;RAT-0554;RAT-0554
RAT-0541;24-007783;RAT-0541;RAT-0541
RAT-0547;24-007784;RAT-0547;RAT-0547
RAT-0529;24-007785;RAT-0529;RAT-0529
RAT-0546;24-007786;RAT-0546;RAT-0546
RAT-0416;24-007787;RAT-0416;RAT-0416
RAT-0417;24-007788;RAT-0417;RAT-0417
RAT-0415;24-007789;RAT-0415;RAT-0415
RAT-0414;24-007790;RAT-0414;RAT-0414
RAT-0418;24-007791;RAT-0418;RAT-0418
RAT-0419;24-007792;RAT-0419;RAT-0419
RAT-0413;24-007793;RAT-0413;RAT-0413
RAT-0429;24-007794;RAT-0429;RAT-0429
RAT-0428;24-007795;RAT-0428;RAT-0428
RAT-0422;24-007796;RAT-0422;RAT-0422
RAT-0424;24-007797;RAT-0424;RAT-0424
RAT-0427;24-007798;RAT-0427;RAT-0427
RAT-0420;24-007799;RAT-0420;RAT-0420
RAT-0425;24-007800;RAT-0425;RAT-0425
RAT-0426;24-007801;RAT-0426;RAT-0426
RAT-0436;24-007802;RAT-0436;RAT-0436
RAT-0439;24-007803;RAT-0439;RAT-0439
RAT-0437;24-007804;RAT-0437;RAT-0437
RAT-0435;24-007805;RAT-0435;RAT-0435
RAT-0438;24-007806;RAT-0438;RAT-0438
RAT-0430;24-007807;RAT-0430;RAT-0430
RAT-0432;24-007808;RAT-0432;RAT-0432
RAT-0446;24-007809;RAT-0446;RAT-0446
RAT-0456;24-007810;RAT-0456;RAT-0456
RAT-0449;24-007811;RAT-0449;RAT-0449
RAT-0443;24-007812;RAT-0443;RAT-0443
RAT-0447;24-007813;RAT-0447;RAT-0447
RAT-0448;24-007814;RAT-0448;RAT-0448
RAT-0445;24-007815;RAT-0445;RAT-0445
RAT-0440;24-007816;RAT-0440;RAT-0440
RAT-0453;24-007817;RAT-0453;RAT-0453
RAT-0433;24-007818;RAT-0433;RAT-0433
RAT-0471;24-007819;RAT-0471;RAT-0471
RAT-0434;24-007820;RAT-0434;RAT-0434
RAT-0457;24-007821;RAT-0457;RAT-0457
RAT-0459;24-007822;RAT-0459;RAT-0459
RAT-0454;24-007823;RAT-0454;RAT-0454
RAT-0458;24-007824;RAT-0458;RAT-0458
RAT-0450;24-007825;RAT-0450;RAT-0450
RAT-0455;24-007826;RAT-0455;RAT-0455
RAT-0451;24-007827;RAT-0451;RAT-0451
RAT-0500;24-007828;RAT-0500;RAT-0500
RAT-0507;24-007829;RAT-0507;RAT-0507
RAT-0506;24-007830;RAT-0506;RAT-0506
RAT-0466;24-007831;RAT-0466;RAT-0466
RAT-0462;24-007832;RAT-0462;RAT-0462
RAT-0468;24-007833;RAT-0468;RAT-0468
RAT-0460;24-007834;RAT-0460;RAT-0460
RAT-0465;24-007835;RAT-0465;RAT-0465
RAT-0469;24-007836;RAT-0469;RAT-0469
RAT-0467;24-007837;RAT-0467;RAT-0467
RAT-0479;24-007838;RAT-0479;RAT-0479
RAT-0476;24-007839;RAT-0476;RAT-0476
RAT-0475;24-007840;RAT-0475;RAT-0475
RAT-0473;24-007841;RAT-0473;RAT-0473
RAT-0470;24-007842;RAT-0470;RAT-0470
RAT-0472;24-007843;RAT-0472;RAT-0472
RAT-0478;24-007844;RAT-0478;RAT-0478
RAT-0481;24-007845;RAT-0481;RAT-0481
RAT-0487;24-007846;RAT-0487;RAT-0487
RAT-0485;24-007847;RAT-0485;RAT-0485
RAT-0489;24-007848;RAT-0489;RAT-0489
RAT-0480;24-007849;RAT-0480;RAT-0480
RAT-0486;24-007850;RAT-0486;RAT-0486
RAT-0491;24-007851;RAT-0491;RAT-0491
RAT-0492;24-007852;RAT-0492;RAT-0492
RAT-0493;24-007853;RAT-0493;RAT-0493
RAT-0495;24-007854;RAT-0495;RAT-0495
RAT-0490;24-007855;RAT-0490;RAT-0490
RAT-0494;24-007856;RAT-0494;RAT-0494
RAT-0497;24-007857;RAT-0497;RAT-0497
RAT-0496;24-007858;RAT-0496;RAT-0496
RAT-0503;24-007859;RAT-0503;RAT-0503
RAT-0505;24-007860;RAT-0505;RAT-0505
RAT-0510;24-007861;RAT-0510;RAT-0510
RAT-0502;24-007862;RAT-0502;RAT-0502
RAT-0501;24-007863;RAT-0501;RAT-0501
RAT-0596;24-007864;RAT-0596;RAT-0596
RAT-0199;24-007865;RAT-0199;RAT-0199
RAT-0198;24-007866;RAT-0198;RAT-0198
RAT-0386;24-007867;RAT-0386;RAT-0386
RAT-0346;24-007868;RAT-0346;RAT-0346
RAT-0366;24-007869;RAT-0366;RAT-0366
RAT-0357;24-007870;RAT-0357;RAT-0357
RAT-0397;24-007871;RAT-0397;RAT-0397
RAT-0336;24-007872;RAT-0336;RAT-0336
RAT-0396;24-007873;RAT-0396;RAT-0396
RAT-0347;24-007874;RAT-0347;RAT-0347
RAT-0608;24-007875;RAT-0608;RAT-0608
RAT-0316;24-007876;RAT-0316;RAT-0316
RAT-0356;24-007877;RAT-0356;RAT-0356
RAT-0376;24-007878;RAT-0376;RAT-0376
RAT-0407;24-007879;RAT-0407;RAT-0407
RAT-0406;24-007880;RAT-0406;RAT-0406
RAT-0323;24-007881;RAT-0323;RAT-0323
RAT-0353;24-007882;RAT-0353;RAT-0353
RAT-0373;24-007883;RAT-0373;RAT-0373
RAT-0367;24-007884;RAT-0367;RAT-0367
RAT-0312;24-007885;RAT-0312;RAT-0312
RAT-0383;24-007886;RAT-0383;RAT-0383
RAT-0393;24-007887;RAT-0393;RAT-0393
RAT-0322;24-007888;RAT-0322;RAT-0322
RAT-0363;24-007889;RAT-0363;RAT-0363
RAT-0343;24-007890;RAT-0343;RAT-0343
RAT-0403;24-007891;RAT-0403;RAT-0403
RAT-0377;24-007892;RAT-0377;RAT-0377
RAT-0381;24-007893;RAT-0381;RAT-0381
RAT-0341;24-007894;RAT-0341;RAT-0341
RAT-0351;24-007895;RAT-0351;RAT-0351
RAT-0372;24-007896;RAT-0372;RAT-0372
RAT-0342;24-007897;RAT-0342;RAT-0342
RAT-0321;24-007898;RAT-0321;RAT-0321
RAT-0382;24-007899;RAT-0382;RAT-0382
RAT-0402;24-007900;RAT-0402;RAT-0402
RAT-0362;24-007901;RAT-0362;RAT-0362
RAT-0311;24-007902;RAT-0311;RAT-0311
RAT-0361;24-007903;RAT-0361;RAT-0361
RAT-0401;24-007904;RAT-0401;RAT-0401
RAT-0371;24-007905;RAT-0371;RAT-0371
RAT-0391;24-007906;RAT-0391;RAT-0391
RAT-0365;24-007907;RAT-0365;RAT-0365
RAT-0405;24-007908;RAT-0405;RAT-0405
RAT-0355;24-007909;RAT-0355;RAT-0355
RAT-0384;24-007910;RAT-0384;RAT-0384
RAT-0314;24-007911;RAT-0314;RAT-0314
RAT-0364;24-007912;RAT-0364;RAT-0364
RAT-0344;24-007913;RAT-0344;RAT-0344
RAT-0324;24-007914;RAT-0324;RAT-0324
RAT-0345;24-007915;RAT-0345;RAT-0345
RAT-0385;24-007916;RAT-0385;RAT-0385
RAT-0315;24-007917;RAT-0315;RAT-0315
RAT-0374;24-007918;RAT-0374;RAT-0374
RAT-0335;24-007919;RAT-0335;RAT-0335
RAT-0334;24-007920;RAT-0334;RAT-0334
RAT-0394;24-007921;RAT-0394;RAT-0394
RAT-0404;24-007922;RAT-0404;RAT-0404
RAT-0375;24-007923;RAT-0375;RAT-0375
RAT-0680;24-007925;RAT-0680;RAT-0680
RAT-0711;24-007926;RAT-0711;RAT-0711
RAT-0718;24-007927;RAT-0718;RAT-0718
RAT-0687;24-007928;RAT-0687;RAT-0687
RAT-0710DM37;24-007929;RAT-0710DM37;RAT-0710
RAT-0737;24-007930;RAT-0737;RAT-0737
RAT-0508;24-007931;RAT-0508;RAT-0508
RAT-0488;24-007932;RAT-0488;RAT-0488
RAT-0677;24-007933;RAT-0677;RAT-0677
RAT-0670;24-007934;RAT-0670;RAT-0670
RAT-0686;24-007935;RAT-0686;RAT-0686
RAT-0709;24-007936;RAT-0709;RAT-0709
RAT-0682;24-007937;RAT-0682;RAT-0682
RAT-0684;24-007938;RAT-0684;RAT-0684
RAT-0714DM50;24-007939;RAT-0714DM50;RAT-0714
RAT-0609DM36;24-007940;RAT-0609DM36;RAT-0609
RAT-0717;24-007941;RAT-0717;RAT-0717
RAT-0676;24-007942;RAT-0676;RAT-0676
RAT-0708;24-007943;RAT-0708;RAT-0708
RAT-0499;24-007944;RAT-0499;RAT-0499
RAT-0713;24-007945;RAT-0713;RAT-0713
