ID;ID_LIMS;ID_Bekken;ID_Trim
RAT-0683;24-007946;RAT-0683;RAT-0683
RAT-0732;24-007947;RAT-0732;RAT-0732
RAT-0698;24-007948;RAT-0698;RAT-0698
RAT-0729;24-007949;RAT-0729;RAT-0729
RAT-0723;24-007950;RAT-0723;RAT-0723
RAT-0712;24-007951;RAT-0712;RAT-0712
RAT-0509;24-007952;RAT-0509;RAT-0509
RAT-0691;24-007953;RAT-0691;RAT-0691
RAT-0498;24-007954;RAT-0498;RAT-0498
RAT-0738;24-007955;RAT-0738;RAT-0738
RAT-0701;24-007956;RAT-0701;RAT-0701
RAT-0730;24-007957;RAT-0730;RAT-0730
RAT-0725;24-007958;RAT-0725;RAT-0725
RAT-0735;24-007959;RAT-0735;RAT-0735
RAT-0717;24-007960;RAT-0717;RAT-0717
RAT-0398;24-007961;RAT-0398;RAT-0398
RAT-0348;24-007962;RAT-0348;RAT-0348
RAT-0358;24-007963;RAT-0358;RAT-0358
RAT-0327;24-007964;RAT-0327;RAT-0327
RAT-0368;24-007965;RAT-0368;RAT-0368
RAT-0378;24-007966;RAT-0378;RAT-0378
RAT-0388;24-007967;RAT-0388;RAT-0388
RAT-0337;24-007968;RAT-0337;RAT-0337
RAT-0317;24-007969;RAT-0317;RAT-0317
RAT-0255;24-007970;RAT-0255;RAT-0255
RAT-0215;24-007971;RAT-0215;RAT-0215
RAT-0289;24-007972;RAT-0289;RAT-0289
RAT-0235;24-007973;RAT-0235;RAT-0235
RAT-0661;24-007974;RAT-0661;RAT-0661
RAT-0272;24-007975;RAT-0272;RAT-0272
RAT-0669;24-007976;RAT-0669;RAT-0669
RAT-0220;24-007977;RAT-0220;RAT-0220
RAT-0225;24-007978;RAT-0225;RAT-0225
RAT-0261;24-007979;RAT-0261;RAT-0261
RAT-0287;24-007980;RAT-0287;RAT-0287
RAT-0286;24-007981;RAT-0286;RAT-0286
RAT-0275;24-007982;RAT-0275;RAT-0275
RAT-0283;24-007983;RAT-0283;RAT-0283
RAT-0643;24-007984;RAT-0643;RAT-0643
RAT-0651;24-007985;RAT-0651;RAT-0651
RAT-0277;24-007986;RAT-0277;RAT-0277
RAT-0271;24-007987;RAT-0271;RAT-0271
RAT-0256;24-007988;RAT-0256;RAT-0256
RAT-0304;24-007989;RAT-0304;RAT-0304
RAT-0296;24-007990;RAT-0296;RAT-0296
RAT-0291;24-007991;RAT-0291;RAT-0291
RAT-0667;24-007992;RAT-0667;RAT-0667
RAT-0240;24-007993;RAT-0240;RAT-0240
RAT-0293;24-007994;RAT-0293;RAT-0293
RAT-0246;24-007995;RAT-0246;RAT-0246
RAT-0295;24-007996;RAT-0295;RAT-0295
RAT-0245;24-007997;RAT-0245;RAT-0245
RAT-0257;24-007998;RAT-0257;RAT-0257
RAT-0284;24-007999;RAT-0284;RAT-0284
RAT-0267;24-008000;RAT-0267;RAT-0267
RAT-0216;24-008001;RAT-0216;RAT-0216
RAT-0281;24-008002;RAT-0281;RAT-0281
RAT-0301;24-008003;RAT-0301;RAT-0301
RAT-0266;24-008004;RAT-0266;RAT-0266
RAT-0292;24-008005;RAT-0292;RAT-0292
RAT-0298;24-008006;RAT-0298;RAT-0298
RAT-0230;24-008007;RAT-0230;RAT-0230
RAT-0294;24-008008;RAT-0294;RAT-0294
RAT-0262;24-008009;RAT-0262;RAT-0262
RAT-0273;24-008010;RAT-0273;RAT-0273
RAT-0265;24-008011;RAT-0265;RAT-0265
RAT-0274;24-008012;RAT-0274;RAT-0274
RAT-0270;24-008013;RAT-0270;RAT-0270
RAT-0282;24-008014;RAT-0282;RAT-0282
RAT-0303;24-008015;RAT-0303;RAT-0303
RAT-0302;24-008016;RAT-0302;RAT-0302
RAT-0236;24-008017;RAT-0236;RAT-0236
RAT-0305;24-008018;RAT-0305;RAT-0305
RAT-0276;24-008019;RAT-0276;RAT-0276
RAT-0226;24-008020;RAT-0226;RAT-0226
RAT-0657;24-008021;RAT-0657;RAT-0657
RAT-0665;24-008022;RAT-0665;RAT-0665
RAT-0656;24-008023;RAT-0656;RAT-0656
RAT-0248;24-008024;RAT-0248;RAT-0248
RAT-0673;24-008025;RAT-0673;RAT-0673
RAT-0213;24-008026;RAT-0213;RAT-0213
RAT-0249;24-008027;RAT-0249;RAT-0249
RAT-0251;24-008028;RAT-0251;RAT-0251
RAT-0228;24-008029;RAT-0228;RAT-0228
RAT-0221;24-008030;RAT-0221;RAT-0221
RAT-0663;24-008031;RAT-0663;RAT-0663
RAT-0660;24-008032;RAT-0660;RAT-0660
RAT-0641;24-008033;RAT-0641;RAT-0641
RAT-0658;24-008034;RAT-0658;RAT-0658
RAT-0309;24-008035;RAT-0309;RAT-0309
RAT-0242;24-008036;RAT-0242;RAT-0242
RAT-0227;24-008037;RAT-0227;RAT-0227
RAT-0231;24-008038;RAT-0231;RAT-0231
RAT-0297;24-008039;RAT-0297;RAT-0297
RAT-0279;24-008040;RAT-0279;RAT-0279
RAT-0229;24-008041;RAT-0229;RAT-0229
RAT-0259;24-008042;RAT-0259;RAT-0259
RAT-0269;24-008043;RAT-0269;RAT-0269
RAT-0260;24-008044;RAT-0260;RAT-0260
RAT-0218;24-008045;RAT-0218;RAT-0218
RAT-0217;24-008046;RAT-0217;RAT-0217
RAT-0223;24-008047;RAT-0223;RAT-0223
RAT-0238;24-008048;RAT-0238;RAT-0238
RAT-0285;24-008049;RAT-0285;RAT-0285
RAT-0672;24-008050;RAT-0672;RAT-0672
RAT-0278;24-008051;RAT-0278;RAT-0278
RAT-0310;24-008052;RAT-0310;RAT-0310
RAT-0219;24-008053;RAT-0219;RAT-0219
RAT-0239;24-008054;RAT-0239;RAT-0239
RAT-0307;24-008055;RAT-0307;RAT-0307
RAT-0264;24-008056;RAT-0264;RAT-0264
RAT-0654;24-008057;RAT-0654;RAT-0654
RAT-0250;24-008058;RAT-0250;RAT-0250
RAT-0247;24-008059;RAT-0247;RAT-0247
RAT-0290;24-008060;RAT-0290;RAT-0290
RAT-0268;24-008061;RAT-0268;RAT-0268
RAT-0258;24-008062;RAT-0258;RAT-0258
RAT-0237;24-008063;RAT-0237;RAT-0237
RAT-0254;24-008064;RAT-0254;RAT-0254
RAT-0244;24-008065;RAT-0244;RAT-0244
RAT-0666;24-008066;RAT-0666;RAT-0666
RAT-0253;24-008067;RAT-0253;RAT-0253
RAT-0233;24-008068;RAT-0233;RAT-0233
RAT-0214;24-008069;RAT-0214;RAT-0214
RAT-0659;24-008070;RAT-0659;RAT-0659
RAT-0234;24-008071;RAT-0234;RAT-0234
RAT-0263;24-008072;RAT-0263;RAT-0263
RAT-0212;24-008073;RAT-0212;RAT-0212
RAT-0653;24-008074;RAT-0653;RAT-0653
RAT-0299;24-008075;RAT-0299;RAT-0299
RAT-0224;24-008076;RAT-0224;RAT-0224
RAT-0671;24-008077;RAT-0671;RAT-0671
RAT-0243;24-008078;RAT-0243;RAT-0243
RAT-0306;24-008079;RAT-0306;RAT-0306
RAT-0222;24-008080;RAT-0222;RAT-0222
RAT-0668;24-008081;RAT-0668;RAT-0668
RAT-0650;24-008082;RAT-0650;RAT-0650
RAT-649;24-008083;RAT-649;RAT-0649
RAT-0640;24-008084;RAT-0640;RAT-0640
RAT-0635;24-008085;RAT-0635;RAT-0635
RAT-0647;24-008086;RAT-0647;RAT-0647
RAT-0634;24-008087;RAT-0634;RAT-0634
RAT-0645;24-008088;RAT-0645;RAT-0645
RAT-0352;24-008089;RAT-0352;RAT-0352
RAT-0638;24-008090;RAT-0638;RAT-0638
RAT-0332;24-008091;RAT-0332;RAT-0332
RAT-0636;24-008092;RAT-0636;RAT-0636
RAT-0637;24-008093;RAT-0637;RAT-0637
RAT-0648;24-008094;RAT-0648;RAT-0648
RAT-0646;24-008095;RAT-0646;RAT-0646
RAT-0329;24-008096;RAT-0329;RAT-0329
RAT-0399;24-008097;RAT-0399;RAT-0399
RAT-0330;24-008098;RAT-0330;RAT-0330
RAT-0360;24-008099;RAT-0360;RAT-0360
RAT-0340;24-008100;RAT-0340;RAT-0340
RAT-0380;24-008101;RAT-0380;RAT-0380
RAT-0410;24-008102;RAT-0410;RAT-0410
RAT-0390;24-008103;RAT-0390;RAT-0390
RAT-0400;24-008104;RAT-0400;RAT-0400
RAT-0389;24-008105;RAT-0389;RAT-0389
RAT-0409;24-008106;RAT-0409;RAT-0409
RAT-0319;24-008107;RAT-0319;RAT-0319
RAT-0349;24-008108;RAT-0349;RAT-0349
RAT-0370;24-008109;RAT-0370;RAT-0370
RAT-0339;24-008110;RAT-0339;RAT-0339
RAT-0320;24-008111;RAT-0320;RAT-0320
RAT-0318;24-008112;RAT-0318;RAT-0318
RAT-0369;24-008113;RAT-0369;RAT-0369
RAT-0359;24-008114;RAT-0359;RAT-0359
RAT-0379;24-008115;RAT-0379;RAT-0379
RAT-2001;24-008925;;RAT-2001
RAT-2002;24-008926;;RAT-2002
RAT-2003;24-008927;;RAT-2003
RAT-2004;24-008928;;RAT-2004
RAT-2005;24-008929;;RAT-2005
RAT-2006;24-008930;;RAT-2006
RAT-2007;24-008931;;RAT-2007
RAT-2008;24-008932;;RAT-2008
RAT-2009;24-008933;;RAT-2009
RAT-2010;24-008934;;RAT-2010
RAT-2011;24-008935;;RAT-2011
RAT-2012;24-008936;;RAT-2012
RAT-2013;24-008937;;RAT-2013
RAT-2014;24-008938;;RAT-2014
RAT-2015;24-008939;;RAT-2015
RAT-2016;24-008940;;RAT-2016
RAT-2017;24-008941;;RAT-2017
RAT-2018;24-008942;;RAT-2018
RAT-2019;24-008943;;RAT-2019
RAT-2020;24-008944;;RAT-2020
RAT-2021;24-008945;;RAT-2021
RAT-2022;24-008946;;RAT-2022
RAT-2023;24-008947;;RAT-2023
RAT-2024;24-008948;;RAT-2024
RAT-2025;24-008949;;RAT-2025
RAT-2026;24-008950;;RAT-2026
RAT-2027;24-008951;;RAT-2027
RAT-2028;24-008952;;RAT-2028
RAT-2029;24-008953;;RAT-2029
RAT-2030;24-008954;;RAT-2030
RAT-2031;24-008955;;RAT-2031
RAT-2032;24-008956;;RAT-2032
RAT-2033;24-008957;;RAT-2033
RAT-2034;24-008958;;RAT-2034
RAT-2035;24-008959;;RAT-2035
RAT-2036;24-008960;;RAT-2036
RAT-2037;24-008961;;RAT-2037
RAT-2038;24-008962;;RAT-2038
RAT-2039;24-008963;;RAT-2039
RAT-2040;24-008964;;RAT-2040
RAT-2041;24-008965;;RAT-2041
RAT-2042;24-008966;;RAT-2042
RAT-2043;24-008967;;RAT-2043
RAT-2044;24-008968;;RAT-2044
RAT-2045;24-008969;;RAT-2045
RAT-2046;24-008970;;RAT-2046
RAT-2047;24-008971;;RAT-2047
RAT-2048;24-008972;;RAT-2048
RAT-2049;24-008973;;RAT-2049
RAT-2050;24-008974;;RAT-2050
RAT-2051;24-008975;;RAT-2051
RAT-2052;24-008976;;RAT-2052
RAT-2053;24-008977;;RAT-2053
RAT-2054;24-008978;;RAT-2054
RAT-2055;24-008979;;RAT-2055
RAT-2056;24-008980;;RAT-2056
RAT-2057;24-008981;;RAT-2057
RAT-2058;24-008982;;RAT-2058
RAT-2059;24-008983;;RAT-2059
RAT-2060;24-008984;;RAT-2060
RAT-2061;24-008985;;RAT-2061
RAT-2062;24-008986;;RAT-2062
RAT-2063;24-008987;;RAT-2063
RAT-2064;24-008988;;RAT-2064
RAT-2065;24-008989;;RAT-2065
RAT-2066;24-008990;;RAT-2066
RAT-2067;24-008991;;RAT-2067
RAT-2068;24-008992;;RAT-2068
RAT-2069;24-008993;;RAT-2069
RAT-2070;24-008994;;RAT-2070
RAT-2071;24-008995;;RAT-2071
RAT-2072;24-008996;;RAT-2072
RAT-2073;24-008997;;RAT-2073
RAT-2074;24-008998;;RAT-2074
RAT-2075;24-008999;;RAT-2075
RAT-2076;24-009000;;RAT-2076
RAT-2077;24-009001;;RAT-2077
RAT-2078;24-009002;;RAT-2078
RAT-2079;24-009003;;RAT-2079
RAT-2080;24-009004;;RAT-2080
RAT-2081;24-009005;;RAT-2081
RAT-2082;24-009006;;RAT-2082
RAT-2083;24-009007;;RAT-2083
RAT-2084;24-009008;;RAT-2084
RAT-2085;24-009009;;RAT-2085
RAT-2086;24-009010;;RAT-2086
RAT-2087;24-009011;;RAT-2087
RAT-2088;24-009012;;RAT-2088
RAT-2089;24-009013;;RAT-2089
RAT-2090;24-009014;;RAT-2090
RAT-2091;24-009015;;RAT-2091
RAT-0859DD56;24-009016;;RAT-0859
RAT-0913DS37;24-009017;;RAT-0913
RAT-0912DL60;24-009018;;RAT-0912
RAT-0849BE35;24-009019;;RAT-0849
RAT-0904DD71;24-009020;;RAT-0904
RAT-0884DE11;24-009021;;RAT-0884
RAT-0860DD64;24-009022;;RAT-0860
RAT-0846DE23;24-009023;;RAT-0846
RAT-0866DD33;24-009024;;RAT-0866
RAT-0873DL73;24-009025;;RAT-0873
RAT-0861DL95;24-009026;;RAT-0861
RAT-0850DD3;24-009027;;RAT-0850
RAT-0916DL37;24-009028;;RAT-0916
RAT-0862;24-009029;;RAT-0862
RAT-0887DE34;24-009030;;RAT-0887
RAT-0844DE45;24-009031;;RAT-0844
RAT-0915DL36;24-009032;;RAT-0915
RAT-0909DL78;24-009033;;RAT-0909
RAT-0885DL29;24-009034;;RAT-0885
RAT-0903DL94;24-009035;;RAT-0903
RAT-0908DL68;24-009036;;RAT-0908
RAT-0843DL40;24-009037;;RAT-0843
RAT-0890DE59;24-009038;;RAT-0890
RAT-0877DL57;24-009039;;RAT-0877
RAT-0882DE12;24-009040;;RAT-0882
RAT-0881DL1;24-009041;;RAT-0881
RAT-0911DL79;24-009042;;RAT-0911
RAT-0876DL47;24-009043;;RAT-0876
RAT-0879DL4;24-009044;;RAT-0879
RAT-0875DL65;24-009045;;RAT-0875
RAT-0871DD99;24-009046;;RAT-0871
RAT-0853DD16;24-009047;;RAT-0853
RAT-0888DE35;24-009048;;RAT-0888
RAT-0854DD18;24-009049;;RAT-0854
RAT-0858DL76;24-009050;;RAT-0858
RAT-0852BE34;24-009051;;RAT-0852
RAT-0889DE72;24-009052;;RAT-0889
RAT-0878DD96;24-009053;;RAT-0878
RAT-0869DD95;24-009054;;RAT-0869
RAT-0880DL5;24-009055;;RAT-0880
RAT-0856DL89;24-009056;;RAT-0856
RAT-0855DL83;24-009057;;RAT-0855
RAT-0252;24-009058;;RAT-0252
RAT-0300;24-009059;;RAT-0300
RAT-0001;24-009060;;RAT-0001
RAT-0005;24-009061;;RAT-0005
RAT-0006;24-009062;;RAT-0006
RAT-0008;24-009063;;RAT-0008
RAT-0009;24-009064;;RAT-0009
RAT-0011;24-009065;;RAT-0011
RAT-0012;24-009066;;RAT-0012
RAT-0015;24-009067;;RAT-0015
RAT-0019;24-009068;;RAT-0019
RAT-0023;24-009069;;RAT-0023
RAT-0089;24-009070;;RAT-0089
RAT-0087;24-009071;;RAT-0087
RAT-0096;24-009072;;RAT-0096
RAT-0095;24-009073;;RAT-0095
RAT-0094;24-009074;;RAT-0094
RAT-0093;24-009075;;RAT-0093
RAT-0097;24-009076;;RAT-0097
RAT-0090;24-009077;;RAT-0090
RAT-0099;24-009078;;RAT-0099
RAT-0082;24-009079;;RAT-0082
RAT-0091;24-009080;;RAT-0091
RAT-0085;24-009081;;RAT-0085
RAT-0083;24-009082;;RAT-0083
RAT-0084;24-009083;;RAT-0084
RAT-0092;24-009084;;RAT-0092
RAT-0100;24-009085;;RAT-0100
RAT-0980;24-009086;;RAT-0980
RAT-0088;24-009087;;RAT-0088
RAT-0086;24-009088;;RAT-0086
RAT-0774;24-009089;;RAT-0774
RAT-0770;24-009090;;RAT-0770
RAT-0777;24-009091;;RAT-0777
RAT-0822;24-009092;;RAT-0822
RAT-0824;24-009093;;RAT-0824
RAT-0768;24-009094;;RAT-0768
RAT-0786;24-009095;;RAT-0786
RAT-0778;24-009096;;RAT-0778
RAT-0771;24-009097;;RAT-0771
RAT-0766;24-009098;;RAT-0766
RAT-0772;24-009099;;RAT-0772
RAT-0837;24-009100;;RAT-0837
RAT-0838;24-009101;;RAT-0838
RAT-0787;24-009102;;RAT-0787
RAT-0834;24-009103;;RAT-0834
RAT-0782;24-009104;;RAT-0782
RAT-0788;24-009105;;RAT-0788
RAT-0781;24-009106;;RAT-0781
RAT-0769;24-009107;;RAT-0769
RAT-0829;24-009108;;RAT-0829
RAT-0783;24-009109;;RAT-0783
RAT-0831;24-009110;;RAT-0831
RAT-0832;24-009111;;RAT-0832
RAT-0826;24-009112;;RAT-0826
RAT-0823;24-009113;;RAT-0823
RAT-0780;24-009114;;RAT-0780
RAT-0775;24-009115;;RAT-0775
RAT-0825;24-009116;;RAT-0825
RAT-0830;24-009117;;RAT-0830
RAT-0773;24-009118;;RAT-0773
RAT-0785;24-009119;;RAT-0785
RAT-0789;24-009120;;RAT-0789
RAT-0839;24-009121;;RAT-0839
RAT-0784;24-009122;;RAT-0784
RAT-0806;24-009123;;RAT-0806
RAT-0805;24-009124;;RAT-0805
RAT-0807;24-009125;;RAT-0807
RAT-0804;24-009126;;RAT-0804
RAT-0816ML26;24-009127;;RAT-0816
RAT-0819ML36;24-009128;;RAT-0819
RAT-0814ML45;24-009129;;RAT-0814
RAT-0791;24-009130;;RAT-0791
RAT-0792;24-009131;;RAT-0792
RAT-0794;24-009132;;RAT-0794
RAT-0793;24-009133;;RAT-0793
RAT-0803;24-009134;;RAT-0803
RAT-0802;24-009135;;RAT-0802
RAT-0811;24-009136;;RAT-0811
RAT-0808;24-009137;;RAT-0808
RAT-0809;24-009138;;RAT-0809
RAT-0810;24-009139;;RAT-0810
RAT-0762;24-009140;;RAT-0762
RAT-0763;24-009141;;RAT-0763
RAT-0840;24-009142;;RAT-0840
RAT-0841;24-009143;;RAT-0841
RAT-0812ML27;24-009144;;RAT-0812
RAT-0818ML22;24-009145;;RAT-0818
RAT-0820ML38;24-009146;;RAT-0820
RAT-0815ML29;24-009147;;RAT-0815
RAT-0817ML35;24-009148;;RAT-0817
RAT-0813ML28;24-009149;;RAT-0813
RAT-1082;24-009150;;RAT-1082
RAT-1130;24-009151;;RAT-1130
RAT-1070;24-009152;;RAT-1070
RAT-1077;24-009153;;RAT-1077
RAT-1136;24-009154;;RAT-1136
RAT-1154;24-009155;;RAT-1154
RAT-1112;24-009156;;RAT-1112
RAT-1149;24-009157;;RAT-1149
RAT-1132;24-009158;;RAT-1132
RAT-1063;24-009159;;RAT-1063
RAT-1160;24-009160;;RAT-1160
RAT-1080;24-009161;;RAT-1080
RAT-1155;24-009162;;RAT-1155
RAT-1127;24-009163;;RAT-1127
RAT-1083;24-009164;;RAT-1083
RAT-1144;24-009165;;RAT-1144
RAT-1138;24-009166;;RAT-1138
RAT-1104;24-009167;;RAT-1104
RAT-1087;24-009168;;RAT-1087
RAT-1065;24-009169;;RAT-1065
RAT-1134;24-009170;;RAT-1134
RAT-1115;24-009171;;RAT-1115
RAT-1151;24-009172;;RAT-1151
RAT-1125;24-009173;;RAT-1125
RAT-1097;24-009174;;RAT-1097
RAT-1096;24-009175;;RAT-1096
RAT-1108;24-009176;;RAT-1108
RAT-1140;24-009177;;RAT-1140
RAT-1162;24-009178;;RAT-1162
RAT-1152;24-009179;;RAT-1152
RAT-1137;24-009180;;RAT-1137
RAT-1069;24-009181;;RAT-1069
RAT-1089;24-009182;;RAT-1089
RAT-1108;24-009183;;RAT-1108
RAT-1141;24-009184;;RAT-1141
RAT-1062;24-009185;;RAT-1062
RAT-1145;24-009186;;RAT-1145
RAT-1124;24-009187;;RAT-1124
RAT-1090;24-009188;;RAT-1090
RAT-1142;24-009189;;RAT-1142
RAT-1114;24-009190;;RAT-1114
RAT-1147;24-009191;;RAT-1147
RAT-1163;24-009192;;RAT-1163
RAT-1061;24-009193;;RAT-1061
RAT-1123;24-009194;;RAT-1123
RAT-1161;24-009195;;RAT-1161
RAT-1075;24-009196;;RAT-1075
RAT-1101;24-009197;;RAT-1101
RAT-1148;24-009198;;RAT-1148
RAT-1135;24-009199;;RAT-1135
RAT-1121;24-009200;;RAT-1121
RAT-1128;24-009201;;RAT-1128
RAT-1156;24-009202;;RAT-1156
RAT-1076;24-009203;;RAT-1076
RAT-1068;24-009204;;RAT-1068
RAT-1143;24-009205;;RAT-1143
RAT-1098;24-009206;;RAT-1098
RAT-1106;24-009207;;RAT-1106
RAT-1150;24-009208;;RAT-1150
RAT-1105;24-009209;;RAT-1105
RAT-1157;24-009210;;RAT-1157
RAT-1086;24-009211;;RAT-1086
RAT-1129;24-009212;;RAT-1129
RAT-1084;24-009213;;RAT-1084
RAT-1091;24-009214;;RAT-1091
RAT-1078;24-009215;;RAT-1078
RAT-1099;24-009216;;RAT-1099
RAT-1071;24-009217;;RAT-1071
RAT-1085;24-009218;;RAT-1085
RAT-1092;24-009219;;RAT-1092
RAT-1079;24-009220;;RAT-1079
RAT-1072;24-009221;;RAT-1072
RAT-1159;24-009222;;RAT-1159
RAT-1107;24-009223;;RAT-1107
RAT-1064;24-009224;;RAT-1064
RAT-1103;24-009225;;RAT-1103
RAT-1094;24-009226;;RAT-1094
RAT-1093;24-009227;;RAT-1093
RAT-1113;24-009228;;RAT-1113
RAT-1120;24-009229;;RAT-1120
RAT-0752;24-009230;;RAT-0752
RAT-1102;24-009231;;RAT-1102
RAT-1095;24-009232;;RAT-1095
RAT-0751;24-009233;;RAT-0751
RAT-1111;24-009234;;RAT-1111
RAT-1126;24-009235;;RAT-1126
RAT-1139;24-009236;;RAT-1139
RAT-1146;24-009237;;RAT-1146
RAT-1153;24-009238;;RAT-1153
RAT-1119;24-009239;;RAT-1119
RAT-1133;24-009240;;RAT-1133
RAT-0756;24-009241;;RAT-0756
RAT-0757;24-009242;;RAT-0757
RAT-0748;24-009243;;RAT-0748
RAT-0753;24-009244;;RAT-0753
RAT-0749;24-009245;;RAT-0749
RAT-0758;24-009246;;RAT-0758
RAT-0755;24-009247;;RAT-0755
RAT-0754;24-009248;;RAT-0754
RAT-0759;24-009249;;RAT-0759
RAT-1122;24-009250;;RAT-1122
RAT-0750;24-009251;;RAT-0750
RAT-1100;24-009252;;RAT-1100
RAT-1073;24-009253;;RAT-1073
RAT-0983BE43;24-10137;;RAT-0983
RAT-0931NE89;24-10138;;RAT-0931
RAT-0976MA96;24-10139;;RAT-0976
RAT-0957BE51;24-10140;;RAT-0957
RAT-0954DL30;24-10141;;RAT-0954
RAT-0932NE97;24-10142;;RAT-0932
RAT-0948DL06;24-10143;;RAT-0948
RAT-0941NE70;24-10144;;RAT-0941
RAT-0958BE02;24-10145;;RAT-0958
RAT-0984DL7;24-10146;;RAT-0984
RAT-0947NE07;24-10147;;RAT-0947
RAT-0970MA66;24-10148;;RAT-0970
RAT-0981MA69;24-10149;;RAT-0981
RAT-0951DL02;24-10150;;RAT-0951
RAT-0974MA83;24-10151;;RAT-0974
RAT-0937NE72;24-10152;;RAT-0937
RAT-0955DL31;24-10153;;RAT-0955
RAT-0959BE66;24-10154;;RAT-0959
RAT-0950NE13;24-10155;;RAT-0950
RAT-0977MA97;24-10156;;RAT-0977
RAT-0936NE71;24-10157;;RAT-0936
RAT-0940NE86;24-11986;;RAT-0940
RAT-0949NE10;24-11987;;RAT-0949
RAT-0969MA65;24-11988;;RAT-0969
RAT-0952DL03;24-11989;;RAT-0952
RAT-0938NE84;24-11990;;RAT-0938
RAT-0942NE69;24-11991;;RAT-0942
RAT-0943NE49;24-11992;;RAT-0943
RAT-0181;24-012410;;RAT-0181
RAT-0182;24-012411;;RAT-0182
RAT-0183;24-012412;;RAT-0183
RAT-0184;24-012413;;RAT-0184
RAT-0185;24-012414;;RAT-0185
RAT-0186;24-012415;;RAT-0186
RAT-0187;24-012416;;RAT-0187
RAT-0188;24-012417;;RAT-0188
RAT-0189;24-012418;;RAT-0189
RAT-0190;24-012419;;RAT-0190
RAT-0191;24-012420;;RAT-0191
RAT-0192;24-012421;;RAT-0192
RAT-0193;24-012422;;RAT-0193
RAT-0194;24-012423;;RAT-0194
RAT-0195;24-012424;;RAT-0195
RAT-0196;24-012425;;RAT-0196
RAT-0197;24-012426;;RAT-0197
RAT-0200;24-012427;;RAT-0200
RAT-0201;24-012428;;RAT-0201
RAT-0202;24-012429;;RAT-0202
RAT-0203;24-012430;;RAT-0203
RAT-0204;24-012431;;RAT-0204
RAT-0205;24-012432;;RAT-0205
RAT-0206;24-012433;;RAT-0206
RAT-0207;24-012434;;RAT-0207
RAT-0208;24-012435;;RAT-0208
RAT-0209;24-012436;;RAT-0209
RAT-0210;24-012437;;RAT-0210
RAT-0591;24-012438;;RAT-0591
RAT-0592;24-012439;;RAT-0592
RAT-0593;24-012440;;RAT-0593
RAT-0594;24-012441;;RAT-0594
RAT-0595;24-012442;;RAT-0595
RAT-0597;24-012443;;RAT-0597
RAT-0598;24-012444;;RAT-0598
RAT-0599;24-012445;;RAT-0599
RAT-0600;24-012446;;RAT-0600
RAT-0601;24-012447;;RAT-0601
RAT-0602;24-012448;;RAT-0602
RAT-0603;24-012449;;RAT-0603
RAT-0604;24-012450;;RAT-0604
RAT-0605;24-012451;;RAT-0605
